X,Y,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B02,B03,B04,B06,B07,TARGET
635851.1800000003,7977302.0699999975,0.061725,0.42,8.36,2.23,4.38,3.64,10.09,0.4,1386.68,9472.0,9054.0,9240.0,16879.0,13575.0,4
638538.68,7978427.079999999,0.011304,0.15,2.28,1.28,1.75,6.27,9.46,0.61,1410.99,8921.0,8521.0,8626.0,15415.0,11587.0,6
639163.6800000003,7978427.079999999,0.013078,0.13,0.9040604308985836,1.21,1.53,15.5,34.26,0.44,1415.38,10286.0,9669.0,10058.0,16675.0,14623.0,6
636663.6800000003,7980114.58,0.015972,0.41,6.05,2.34,4.6,5.79,20.13,0.3,1463.34,8999.0,8804.0,9358.0,16659.0,11968.0,3
636601.1800000003,7978739.58,0.026331999999999998,0.42,1.03,1.99,2.02,6.0,8.83,0.71,1400.68,8553.0,8106.0,7940.0,12991.0,9580.0,3
637663.6800000003,7974489.5699999975,0.082715,2.96,9.36,4.81,9.86,4.22,6.28,0.61,1377.0,8800.0,8366.0,8693.0,14261.0,10684.0,2
639976.19,7981177.080000001,0.11277100000000001,0.36,4.28,1.78,3.07,6.53,21.97,0.35,1370.37,8990.0,8954.0,9674.0,18069.0,13306.0,6
635788.6800000003,7980177.080000001,0.015632,0.37,6.56,2.37,6.1,7.52,33.86,0.28,1467.82,9111.0,8763.0,9117.0,17451.0,13062.0,3
636413.6800000003,7971364.559999998,0.028158999999999997,2.29,21.09,8.79,15.72,3.17,9.39,0.33,1302.28,9896.0,10140.0,10992.0,19424.0,14445.0,2
636538.68,7970989.56,0.016880000000000003,0.99,24.54,8.71,14.45,5.31,15.92,0.33,1275.39,9415.0,9448.0,9765.0,16397.0,12023.0,1
638726.1800000003,7980177.080000001,0.104155,0.84,6.83,2.54,4.06,6.19,15.92,0.39,1399.99,9671.0,9371.0,9767.0,18006.0,13953.0,5
637163.6800000003,7980177.080000001,0.077873,0.19,16.44,2.99,6.61,9.07,53.15,0.18,1449.73,8659.0,8276.0,8661.0,16314.0,11982.0,3
637851.1800000003,7983052.08,0.022472,0.43,1.53,1.08,1.88,3.77,4.91,0.8,1367.0,9842.0,9473.0,9893.0,18479.0,14954.0,4
636351.1800000003,7970677.059999999,0.062563,0.73,28.4,9.009149999999991,15.0,6.81,20.56,0.32,1264.05,10724.0,11515.0,13029.0,23129.0,16588.0,1
636976.1800000003,7977927.070000001,0.042182,0.73,10.25,4.78,7.29,8.800000000000002,18.92,0.46,1369.88,9756.0,9962.0,10797.0,20758.0,16090.0,3
636038.68,7974239.57,0.030144999999999998,0.37,2.69,1.34,2.51,4.69,8.06,0.54,1372.84,9464.0,9078.0,9259.0,17757.0,14535.0,4
638163.6800000003,7975989.57,0.033118,1.2,17.24,4.11,8.85,3.75,12.06,0.31,1371.1500000000005,9037.0,8682.0,8743.0,14203.0,11136.0,3
639976.19,7981052.08,0.11411099999999999,0.41,1.74,1.65,2.66,6.22,19.54,0.37,1376.12,9477.0,9696.0,10475.0,19067.0,15180.0,6
637788.6800000003,7981302.08,0.010403,0.21,3.59,1.86,2.62,4.9,10.47,0.45,1415.86,10965.0,10251.0,10847.0,20067.0,17085.0,5
635788.6800000003,7970052.059999999,0.204261,1.23,14.19,5.23,9.66,4.79,11.01,0.44,1242.43,8603.0,8107.0,8036.0,12920.0,9708.0,2
638663.6800000003,7971427.059999999,0.019375,1.05,3.25,2.3,3.58,4.5,7.26,0.67,1377.62,9095.0,8688.0,8876.0,16586.0,12551.0,4
636476.1800000003,7969927.06,0.163445,4.71914999999999,11.04,5.99,13.8,1.93,3.74,0.51,1312.34,8876.0,8454.0,8687.0,14104.0,10607.0,2
636288.6800000003,7976927.070000001,0.238512,0.33,3.77,2.86,3.21,11.27,11.87,0.92,1322.95,8670.0,8352.0,8264.0,15126.0,11117.0,4
636288.6800000003,7969802.059999999,0.13717200000000002,2.28,10.14,5.46,10.12,2.74,4.97,0.52,1282.84,8488.0,7808.0,7577.0,11040.0,8750.0,2
634226.1800000003,7971864.570000001,0.043837,0.47,3.69,2.51,3.09,4.6,9.71,0.43,1249.43,8806.0,8471.0,8584.0,15540.0,12005.0,6
639663.6800000003,7979802.080000001,0.0062829999999999995,0.10203459449991208,6.09,2.04,2.63,15.41,34.77,0.44,1395.04,8743.0,8249.0,8420.0,15504.0,11414.0,5
638538.68,7975864.570000001,0.131328,0.71,13.67,3.68,8.47,4.62,16.67,0.27,1377.94,8970.0,8708.0,8988.0,15465.0,11821.0,3
639913.6800000003,7980802.079999999,0.036372,0.27,2.25,0.99,1.92,5.84,13.37,0.47,1385.5100000000002,9555.0,9145.0,9315.0,16926.0,13757.0,6
637601.1800000003,7974802.07,0.124948,0.46,6.38,6.52,7.48,7.66,10.04,0.72,1353.54,8148.0,7768.0,6862.0,9681.0,7063.0,4
639976.19,7980302.08,0.018934,0.21,3.36,1.77,2.35,7.59,13.68,0.56,1386.31,11105.0,11037.0,11581.0,20534.0,17354.0,6
637351.1800000003,7976614.570000001,0.009590999999999999,1.64,34.07789999999976,4.6,16.76,2.87,20.27,0.12,1386.56,9052.0,8651.0,8660.0,13979.0,11165.0,2
638288.6800000003,7977114.570000001,0.0559,0.3,4.91,2.27,3.62,4.55,10.73,0.42,1385.43,10109.0,10527.0,11208.0,19046.0,15263.0,3
634413.6800000003,7971989.57,0.047864,0.46,3.86,2.22,3.16,4.53,7.48,0.62,1258.62,8555.0,8040.0,7883.0,12692.0,9361.0,6
638913.6800000003,7982489.58,0.011667,2.17,12.33,2.4,7.87,1.07,5.21,0.22,1412.69,8767.0,8497.0,9408.0,16282.0,13368.0,5
637538.68,7980177.080000001,0.075421,0.10203459449991208,20.09,3.46,7.39,10.72,57.29,0.2,1446.68,8881.0,9383.0,11986.0,19182.0,15317.0,3
638163.6800000003,7979114.58,0.011253,0.35,5.48,2.61,4.73,7.72,19.7,0.4,1394.97,8777.0,8056.0,7735.0,12474.0,10001.0,5
638101.18,7976364.57,0.013791999999999999,1.24,10.51,3.29,7.32,3.0,9.69,0.3,1411.89,9096.0,8778.0,9096.0,16892.0,13859.0,2
639351.1800000003,7982802.079999999,0.034838,1.08,8.62,2.89,6.34,1.87,6.69,0.29,1377.25,8805.0,8452.0,8420.0,14676.0,11198.0,5
636163.6800000003,7980114.58,0.012776000000000001,0.2,17.51,2.97,6.07,8.27,42.39,0.22,1462.98,9071.0,8919.0,9482.0,17807.0,13129.0,3
636663.6800000003,7979552.08,0.009937999999999999,0.79,3.0,1.76,3.43,3.39,9.91,0.36,1459.83,9011.0,8582.0,8850.0,16813.0,13112.0,3
637476.1800000003,7981927.08,0.011411,0.62,4.87,1.44,3.09,3.07,7.04,0.44,1387.0,9177.0,8866.0,9269.0,18002.0,13475.0,5
636101.18,7973927.070000001,0.012541,0.59,3.56,1.55,3.0,3.03,5.95,0.49,1387.05,9073.0,8673.0,9113.0,16594.0,12509.0,4
637101.18,7978989.580000001,0.017273,0.31,2.5,1.8,2.58,5.04,7.7,0.68,1414.2,9208.0,8589.0,8730.0,14559.0,11932.0,3
639226.1800000003,7972927.070000001,0.388971,0.46,4.37,1.68,3.17,6.09,11.93,0.51,1459.49,8599.0,7818.0,7509.0,11468.0,9365.0,5
634476.1800000003,7971864.570000001,0.055841999999999996,0.69,5.89,2.69,4.39,3.15,5.99,0.55,1268.57,9169.0,8817.0,9541.0,15147.0,13272.0,6
638851.1800000003,7973239.57,0.054152,0.35,2.82,2.07,2.42,5.52,7.17,0.78,1517.66,8968.0,8373.0,8273.0,13676.0,11335.0,5
637913.6800000003,7977552.0699999975,0.085078,0.84,11.29,3.72,7.9,4.44,14.77,0.3,1370.27,8645.0,8153.0,8066.0,13389.0,10180.0,3
638851.1800000003,7980239.58,0.075393,1.05,7.93,2.89,4.67,5.19,12.37,0.39,1390.48,12460.0,12310.0,13193.0,20516.0,17241.0,5
637976.1800000003,7974177.07,0.014306999999999999,2.2,20.11,4.08,11.16,1.62,7.54,0.25,1401.68,9260.0,8745.0,8806.0,15482.0,11787.0,2
636726.1800000003,7980052.08,0.042229,0.41,8.52,2.55,5.29,5.71,22.83,0.27,1464.95,8991.0,8826.0,9443.0,17241.0,12454.0,3
638163.6800000003,7976302.0699999975,0.014407,0.95,8.27,3.26,6.57,3.44,10.7,0.31,1416.0,8691.0,8086.0,8008.0,13340.0,10976.0,3
637476.1800000003,7973739.5699999975,0.045446,0.87,9.7,4.59,7.4,8.37,14.98,0.5,1395.94,8940.0,9077.0,9191.0,15254.0,11226.0,4
639413.6800000003,7981864.58,0.016719,0.47,4.05,2.5,3.71,5.73,12.13,0.45,1382.82,10607.0,11094.0,12541.0,20700.0,16833.0,5
638226.1800000003,7982552.08,0.0068709999999999995,0.34,2.38,1.35,2.03,3.35,5.5,0.65,1407.52,9059.0,8768.0,8792.0,16173.0,13452.0,4
639726.1800000003,7983052.08,0.033530000000000004,1.25,8.64,2.69,5.89,3.5,10.91,0.31,1364.43,9101.0,8697.0,9105.0,17552.0,12910.0,5
638663.6800000003,7981489.58,0.054137,0.41,3.66,2.44,3.6,3.11,6.91,0.47,1433.84,9071.0,8665.0,8944.0,17906.0,13743.0,6
638788.6800000003,7982114.58,0.010964,0.77,4.28,1.5,3.86,1.71,5.41,0.32,1428.73,8920.0,8513.0,8705.0,17085.0,13238.0,6
638976.1800000003,7981989.580000001,0.020385,1.66,8.93,1.89,5.56,1.24,4.77,0.31,1418.34,8852.0,8618.0,9124.0,17217.0,13725.0,5
636538.68,7971427.059999999,0.022246000000000002,2.51,19.67,7.56,14.66,2.91,7.82,0.36,1316.05,8763.0,8342.0,8053.0,12920.0,9583.0,1
636226.1800000003,7970552.059999998,0.100512,1.12,25.23,7.63,13.61,6.57,18.79,0.33,1253.24,9506.0,9929.0,11063.0,19047.0,14030.0,1
637226.1800000003,7978927.079999999,0.015974000000000002,0.31,2.28,1.94,3.22,5.42,9.43,0.64,1408.71,9616.0,9029.0,9296.0,16953.0,13796.0,3
639038.68,7978239.57,0.01518,0.19,5.45,2.28,3.56,11.37,47.05,0.22,1417.74,13555.0,13276.0,14038.0,21861.0,19616.0,6
638226.1800000003,7977177.07,0.07114,0.35,5.0,2.41,4.09,4.54,11.04,0.4,1376.08,9074.0,8851.0,9109.0,16343.0,12685.0,3
637851.1800000003,7977802.0699999975,0.039548,0.56,7.4,3.71,6.52,5.69,15.36,0.38,1375.54,9879.0,9680.0,10106.0,17974.0,14804.0,3
639913.6800000003,7980052.08,0.016339,0.2,3.76,1.48,2.26,8.73,16.79,0.55,1387.38,9010.0,8511.0,8669.0,16876.0,12954.0,6
638851.1800000003,7981989.580000001,0.015328999999999999,1.72,7.84,1.66,5.19,1.53,4.85,0.33,1426.55,8922.0,8625.0,8889.0,16443.0,12516.0,6
636538.68,7971552.059999998,0.020252000000000003,2.76,18.0,6.65,14.18,2.51,6.49,0.38,1348.74,9192.0,8683.0,8700.0,14353.0,11035.0,1
640038.69,7980614.579999999,0.025269999999999997,0.26,2.23,1.16,2.04,7.46,15.15,0.52,1387.1500000000005,9616.0,9393.0,9769.0,15971.0,13555.0,6
639851.19,7982427.079999999,0.025412,0.36,3.77,2.02,3.5,4.62,11.41,0.41,1346.73,9042.0,8666.0,9042.0,17925.0,13290.0,5
636476.1800000003,7971302.059999999,0.023488,1.99,22.19,8.83,15.31,3.51,10.15,0.34,1294.23,8709.0,8402.0,8279.0,14611.0,10520.0,1
637351.1800000003,7976552.0699999975,0.020026,1.54,34.07789999999976,4.83,16.28,2.87,19.59,0.13,1381.05,8953.0,8263.0,8129.0,12983.0,10474.0,2
639163.6800000003,7978739.58,0.016446000000000002,0.10203459449991208,1.22,0.95,1.36,14.22,16.86,0.82,1407.34,9367.0,9163.0,9163.0,16120.0,13220.0,6
637288.6800000003,7977427.07,0.060562,1.62,30.87,3.56,12.75,3.1,19.26,0.18,1344.39,8944.0,8534.0,8622.0,15259.0,11665.0,2
638976.1800000003,7980239.58,0.020516,0.73,6.39,2.4,4.27,5.98,12.48,0.43,1385.02,8457.0,8228.0,7104.0,5962.0,5888.0,5
636413.6800000003,7971739.5699999975,0.069415,2.73,18.11,5.64,14.08,2.18,6.07,0.37,1391.36,8528.0,7948.0,7851.0,10293.0,8215.0,1
639351.1800000003,7980739.58,0.043725,0.54,4.59,2.62,3.85,5.3,10.32,0.49,1368.94,8543.0,8113.0,7931.0,14499.0,10796.0,5
635101.18,7970614.559999998,0.041172,3.72,26.99,3.65,16.3,1.56,7.13,0.23,1332.42,8873.0,8096.0,7929.0,12734.0,9952.0,2
636038.68,7978864.579999999,0.036761,0.26,3.0,1.91,2.4,7.03,11.38,0.67,1421.63,8510.0,8011.0,8224.0,13742.0,10740.0,4
637101.18,7979802.080000001,0.039831,0.4,19.0,2.7,5.81,6.48,34.94,0.26,1457.72,8684.0,8291.0,8469.0,16169.0,11873.0,3
636163.6800000003,7977239.57,0.136675,0.25,2.52,2.2,2.92,9.1,9.45,0.88,1364.83,8840.0,8269.0,8163.0,14970.0,11806.0,4
638601.1800000003,7981427.079999999,0.046602,0.36,2.25,2.41,3.12,3.46,7.31,0.49,1435.4000000000005,9557.0,9231.0,9613.0,19361.0,15801.0,4
637663.6800000003,7979927.08,0.033721,0.58,12.57,2.7,6.54,5.97,23.31,0.26,1435.96,9930.0,9669.0,10069.0,18103.0,15152.0,3
638038.68,7976177.07,0.026316000000000003,1.64,18.03,3.71,9.5,2.78,9.95,0.27,1390.37,8675.0,7996.0,7785.0,11621.0,9460.0,3
636101.18,7971239.559999999,0.025301,2.21,20.19,8.48,14.93,3.69,11.54,0.32,1280.46,8503.0,8099.0,7685.0,12470.0,8906.0,2
638226.1800000003,7980489.58,0.031783,0.2,4.77,1.89,2.75,7.82,15.96,0.45,1434.13,9703.0,9627.0,10423.0,18763.0,15456.0,5
638663.6800000003,7982239.58,0.004219,0.41,3.74,1.14,2.96,2.14,6.35,0.34,1434.5,9667.0,9228.0,9587.0,17834.0,14489.0,6
635538.68,7970239.559999999,0.058467999999999985,1.81,22.2,4.93,12.05,3.49,10.88,0.33,1257.52,9828.0,9264.0,9529.0,16211.0,12474.0,2
636163.6800000003,7973364.57,0.043554,0.77,3.24,2.01,3.93,1.8,2.47,0.68,1337.91,9017.0,8673.0,8898.0,16826.0,12456.0,4
635976.1800000003,7970239.559999999,0.069036,1.17,13.32,7.22,10.4,5.26,12.03,0.43,1245.73,9962.0,10886.0,11557.0,19645.0,14574.0,2
638913.6800000003,7971677.06,0.077877,0.48,5.06,2.56,3.8,7.14,15.47,0.51,1371.7600000000002,8801.0,8388.0,8994.0,16023.0,12705.0,4
637913.6800000003,7981302.08,0.007285,0.3,4.27,1.55,2.59,4.98,10.55,0.47,1422.28,9613.0,9494.0,9979.0,18990.0,15771.0,5
637288.6800000003,7979427.079999999,0.014516999999999999,0.84,3.46,2.97,4.67,3.94,7.86,0.6,1422.7600000000002,9423.0,8939.0,9139.0,16487.0,13807.0,3
637538.68,7972739.57,0.023162000000000002,2.2,18.69,7.92,13.19,1.75,5.24,0.39,1412.68,8835.0,8512.0,8956.0,15476.0,11213.0,4
635351.1800000003,7969864.559999999,0.08642799999999999,1.46,18.67,7.64,12.17,3.93,11.49,0.35,1239.9000000000005,8973.0,8728.0,8751.0,16343.0,12489.0,2
634476.1800000003,7972052.07,0.046925,0.33,3.24,2.44,3.08,4.78,7.38,0.68,1263.42,8912.0,8679.0,9084.0,16154.0,12027.0,6
636476.1800000003,7971552.059999998,0.022588,2.71,18.43,7.31,14.8,2.51,6.87,0.37,1346.82,9571.0,9338.0,9592.0,16147.0,12206.0,1
636038.68,7974052.07,0.042863,0.41,3.38,1.11,2.68,3.68,7.09,0.48,1381.87,9208.0,8829.0,9297.0,16921.0,13092.0,4
639913.69,7982364.58,0.021077000000000002,0.3,2.92,1.92,2.86,4.77,11.04,0.44,1340.99,8696.0,8301.0,8174.0,15115.0,11104.0,5
638413.6800000003,7975302.0699999975,0.044566,1.72,13.99,5.29,10.04,2.35,8.32,0.3,1402.34,9691.0,9522.0,10371.0,16380.0,13214.0,4
637726.1800000003,7977364.57,0.081412,1.82,25.77,4.37,12.62,3.37,17.44,0.19,1356.5100000000002,8229.0,7761.0,7038.0,10639.0,7727.0,2
637851.1800000003,7979052.08,0.014603999999999999,1.36,16.72,3.56,8.2,3.55,12.4,0.27,1373.75,8508.0,8031.0,7700.0,12585.0,9450.0,2
637163.6800000003,7975614.57,0.051449,0.21,8.13,3.49,5.45,10.32,20.93,0.49,1363.53,9712.0,9928.0,10902.0,18033.0,14767.0,4
637788.6800000003,7982177.080000001,0.005929,0.49,2.08,1.48,2.48,3.03,5.23,0.59,1384.14,9355.0,8833.0,8946.0,17361.0,14631.0,5
636288.6800000003,7970552.059999998,0.104956,1.05,25.59,7.72,13.7,6.55,18.75,0.33,1254.33,9165.0,9196.0,9369.0,16705.0,11782.0,1
640038.69,7980802.079999999,0.038163,0.29,1.83,1.36,2.15,6.77,17.88,0.42,1385.72,10640.0,9999.0,10417.0,18666.0,15579.0,6
637101.18,7976364.57,0.052073,1.15,24.7,4.32,11.84,3.23,15.4,0.21,1337.92,8276.0,8023.0,7521.0,11915.0,8757.0,2
637351.1800000003,7974302.0699999975,0.034869,0.32,3.03,4.12,5.2,6.76,6.81,0.95,1384.3,8921.0,8643.0,8963.0,17090.0,12424.0,4
636538.68,7978927.079999999,0.026083,0.38,1.9,1.61,1.97,4.42,6.54,0.65,1417.48,8705.0,8159.0,8061.0,14051.0,10745.0,3
639101.18,7981364.58,0.038346,0.88,9.47,3.03,5.92,3.53,11.22,0.3,1399.0,10397.0,10469.0,11878.0,17748.0,15527.0,5
634351.1800000003,7971989.57,0.046625,0.43,3.34,2.3,3.0,4.98,8.35,0.59,1256.27,8516.0,7997.0,7735.0,12536.0,9330.0,6
638163.6800000003,7976552.0699999975,0.029182,1.09,7.5,2.85,5.86,3.34,9.0,0.37,1405.32,8765.0,8217.0,8205.0,14899.0,11856.0,3
638538.68,7975989.57,0.105709,0.41,8.84,2.45,6.39,5.43,17.38,0.31,1388.48,9293.0,8447.0,8636.0,14344.0,12076.0,3
639351.1800000003,7980364.58,0.006823,0.12,3.28,1.72,2.84,10.15,20.42,0.49,1385.88,9662.0,9748.0,10759.0,20862.0,15795.0,5
635788.6800000003,7970927.06,0.027867000000000003,1.53,20.26,7.97,13.26,4.14,12.17,0.35,1254.86,8448.0,8112.0,7585.0,12391.0,8942.0,2
638788.6800000003,7978614.579999999,0.009609999999999999,0.36,2.64,0.68,1.69,5.36,10.59,0.51,1422.0100000000002,10527.0,9952.0,10732.0,17228.0,15153.0,6
639726.1800000003,7980677.08,0.027755000000000002,0.19,3.07,1.31,2.05,6.78,13.63,0.5,1379.85,10435.0,10213.0,10630.0,19358.0,15943.0,6
637226.1800000003,7977989.57,0.024388,1.14,19.73,5.58,10.42,4.19,15.82,0.28,1365.68,9990.0,10300.0,11063.0,19642.0,15140.0,2
638851.1800000003,7978239.57,0.029115,0.29,8.91,2.04,4.16,5.98,27.57,0.24,1417.17,8900.0,8755.0,9231.0,16746.0,13118.0,6
636913.6800000003,7978927.079999999,0.019212,0.38,2.44,1.33,2.15,4.94,6.74,0.68,1404.57,9028.0,8526.0,8750.0,16279.0,12476.0,3
636538.68,7970052.059999999,0.218678,4.71914999999999,11.58,6.54,14.43,1.94,3.88,0.51,1307.94,9224.0,8847.0,9244.0,14544.0,10879.0,2
636226.1800000003,7974364.57,0.035032,0.38,2.7,1.53,2.58,4.9,7.96,0.59,1380.49,8920.0,8285.0,8198.0,13005.0,10533.0,4
638038.68,7973614.57,0.041788,0.93,9.6,3.27,7.15,2.95,8.85,0.34,1407.02,8808.0,8422.0,8819.0,15885.0,11699.0,4
636601.1800000003,7971364.559999998,0.020025,2.43,19.8,7.44,14.35,3.11,8.16,0.37,1300.9000000000005,9189.0,8972.0,9284.0,15373.0,11706.0,1
636788.6800000003,7975864.570000001,0.022098,1.97,6.37,5.19,7.75,3.21,5.63,0.58,1367.9000000000005,9123.0,8758.0,9260.0,15666.0,11817.0,4
634226.1800000003,7971927.070000001,0.044235000000000003,0.38,2.98,2.51,2.85,5.18,10.25,0.46,1251.39,9132.0,8553.0,8610.0,15949.0,12819.0,6
638726.1800000003,7978552.08,0.009056999999999999,0.33,2.54,0.71,1.69,4.94,9.7,0.52,1422.14,9228.0,8963.0,9520.0,16846.0,13289.0,6
637288.6800000003,7979802.080000001,0.012662,0.87,3.35,1.87,4.48,5.31,20.9,0.31,1445.64,9382.0,9079.0,9539.0,18899.0,16121.0,3
635538.68,7973552.0699999975,0.008804000000000001,0.71,4.94,2.25,3.29,2.66,5.73,0.49,1333.43,9345.0,9129.0,9443.0,16638.0,12904.0,5
637351.1800000003,7971614.559999998,0.030531,2.63,22.39,6.72,14.41,2.2,6.59,0.34,1296.77,8191.0,7686.0,6922.0,10320.0,7521.0,4
637851.1800000003,7974864.570000001,0.151422,1.09,12.17,7.6,9.8,4.32,7.56,0.52,1360.04,8361.0,7928.0,7419.0,11373.0,8384.0,2
638913.6800000003,7978802.079999999,0.015533000000000003,0.2,3.7,1.05,1.81,9.0,16.28,0.58,1413.5100000000002,10321.0,9907.0,10350.0,19953.0,17089.0,6
636288.6800000003,7979614.579999999,0.013108000000000002,0.59,10.85,2.86,6.03,4.97,20.86,0.3,1457.74,9008.0,8688.0,9263.0,16624.0,12965.0,3
636538.68,7971177.06,0.019278,1.65,24.98,9.009149999999991,14.91,4.18,12.08,0.34,1282.86,8583.0,8222.0,8333.0,13377.0,9733.0,1
636476.1800000003,7971677.06,0.051085000000000005,2.64,16.2,5.82,13.84,2.24,5.94,0.39,1381.62,9086.0,8723.0,8734.0,14428.0,10964.0,1
634538.68,7971802.0699999975,0.06412000000000001,0.88,4.94,3.06,5.15,2.5,5.14,0.51,1281.23,8509.0,7726.0,7657.0,10559.0,9979.0,6
638351.1800000003,7976177.07,0.017197,0.6,7.71,3.89,5.57,5.31,15.65,0.34,1407.72,9380.0,8878.0,9183.0,16988.0,14064.0,3
636163.6800000003,7971552.059999998,0.022971000000000002,3.54,27.82,6.85,16.31,2.67,8.74,0.31,1325.66,8227.0,7609.0,7000.0,10601.0,7765.0,2
636726.1800000003,7979677.080000001,0.012226,0.67,5.03,2.18,4.01,3.87,13.99,0.3,1469.45,9479.0,8817.0,9183.0,17308.0,14106.0,3
636476.1800000003,7970989.56,0.021256,1.01,26.36,8.84,14.89,5.65,17.44,0.31,1278.46,9036.0,9007.0,9674.0,15847.0,11958.0,1
637726.1800000003,7982239.58,0.007442,0.53,2.74,1.45,2.67,2.93,5.35,0.56,1378.32,9842.0,9399.0,9653.0,18538.0,15744.0,5
634413.6800000003,7971302.059999999,0.08390700000000001,2.3,9.15,3.74,8.56,2.39,6.21,0.39,1313.55,8640.0,8052.0,7968.0,11649.0,9058.0,5
636851.1800000003,7976552.0699999975,0.037523,1.45,9.63,4.39,7.77,4.36,9.58,0.51,1336.91,8924.0,8437.0,8632.0,13757.0,10468.0,2
636726.1800000003,7973927.070000001,0.031745999999999996,0.28,3.15,1.98,2.65,4.82,8.970000000000002,0.56,1396.79,8785.0,8217.0,8190.0,13415.0,11032.0,4
636226.1800000003,7970614.559999998,0.078434,0.96,27.13,8.59,14.34,6.76,19.97,0.32,1257.92,9664.0,10006.0,11028.0,20224.0,14518.0,1
635851.1800000003,7979114.58,0.022167,0.22,2.84,1.9,2.27,6.52,10.02,0.66,1418.96,8807.0,8264.0,8582.0,16533.0,13881.0,4
637101.18,7978302.08,0.023206,0.83,11.36,4.82,7.42,6.06,16.22,0.36,1377.77,9777.0,9537.0,10015.0,18407.0,14191.0,3
636476.1800000003,7979052.08,0.02106,0.32,2.61,1.94,2.32,3.97,6.27,0.61,1423.12,8475.0,7880.0,7619.0,12502.0,9475.0,3
636476.1800000003,7971364.559999998,0.024689,2.19,21.02,8.6,15.31,3.19,9.1,0.34,1303.3,8884.0,8555.0,8677.0,15331.0,10959.0,1
636038.68,7972427.07,0.026198000000000003,1.85,17.37,6.83,12.53,2.49,7.08,0.36,1334.04,8844.0,8354.0,8611.0,15749.0,11633.0,4
637913.6800000003,7978364.58,0.07443,0.55,5.25,2.84,5.06,6.55,12.43,0.56,1362.1500000000005,8710.0,8127.0,8264.0,15474.0,11823.0,3
636476.1800000003,7978677.08,0.021957,0.41,1.75,1.62,2.11,6.58,11.03,0.65,1413.16,9442.0,8867.0,9041.0,17478.0,14121.0,4
637601.1800000003,7980364.58,0.01987,0.11,13.05,2.99,5.52,11.1,56.11,0.22,1439.02,8731.0,8246.0,8432.0,15238.0,11087.0,5
635913.6800000003,7980114.58,0.012056,0.33,12.23,2.87,6.87,8.06,40.29,0.26,1466.35,9208.0,9273.0,10158.0,18175.0,13699.0,3
637351.1800000003,7979114.58,0.015761,0.47,3.77,3.09,4.54,4.57,8.59,0.61,1405.22,10179.0,9743.0,10441.0,19961.0,16783.0,3
638788.6800000003,7972739.57,0.015947,0.44,3.07,2.52,3.13,6.69,9.97,0.67,1397.58,8954.0,8395.0,8348.0,15596.0,12200.0,4
635538.68,7970302.059999999,0.050192,1.83,22.55,4.78,12.17,3.34,10.53,0.32,1261.84,9768.0,9530.0,9784.0,17429.0,13021.0,2
639788.6800000003,7981739.580000001,0.015762,0.16,2.83,1.5,1.97,8.869999999999997,17.58,0.49,1359.89,9209.0,8681.0,8900.0,17789.0,14844.0,5
636351.1800000003,7978114.570000001,0.007705,0.12,4.44,1.83,2.82,12.26,24.8,0.48,1426.27,8914.0,8945.0,9484.0,16430.0,12079.0,4
636788.6800000003,7979177.080000001,0.018361000000000002,0.85,4.59,1.22,2.45,3.6,5.33,0.55,1424.4000000000005,8995.0,8351.0,8376.0,14626.0,11712.0,3
635163.6800000003,7971302.059999999,0.013534000000000001,3.34,12.52,4.34,12.11,1.62,4.72,0.38,1351.0,8784.0,8476.0,8490.0,14790.0,10734.0,2
637913.6800000003,7977239.57,0.124983,1.7,18.86,4.35,10.2,3.46,13.96,0.25,1360.59,11521.0,11808.0,12977.0,19335.0,15757.0,2
637163.6800000003,7976739.57,0.034888,1.49,32.43,4.5,14.24,3.2,19.63,0.17,1368.19,8929.0,8355.0,8298.0,13254.0,10367.0,2
635663.6800000003,7971427.059999999,0.020722,1.59,24.47,7.49,13.94,3.16,10.76,0.29,1292.39,8302.0,7787.0,7023.0,10153.0,7414.0,2
636226.1800000003,7979802.080000001,0.004739,0.26,26.02,4.48,8.51,6.63,35.73,0.23,1466.55,8761.0,8439.0,9063.0,16274.0,12071.0,3
636351.1800000003,7978239.58,0.039663,0.10203459449991208,3.79,1.98,2.7,11.41,23.92,0.47,1421.93,8973.0,8859.0,9739.0,17432.0,13692.0,4
637038.68,7978114.570000001,0.0218,0.89,12.76,5.07,7.77,7.24,18.05,0.39,1370.54,9828.0,10105.0,10791.0,18321.0,14498.0,3
637788.6800000003,7979614.579999999,0.008424,0.9,9.41,2.96,5.89,3.14,9.53,0.29,1402.7,8882.0,8491.0,8490.0,14724.0,11752.0,2
638788.6800000003,7980114.58,0.066465,0.69,5.62,2.36,3.75,6.26,16.01,0.39,1399.27,8482.0,8032.0,7714.0,13505.0,9837.0,5
638538.68,7977302.0699999975,0.063047,0.32,5.06,1.25,2.71,4.94,11.48,0.42,1382.42,8359.0,7973.0,7453.0,11776.0,8531.0,3
637788.6800000003,7972302.0699999975,0.0067670000000000004,1.41,13.93,4.36,9.32,2.63,7.46,0.36,1397.85,8968.0,8517.0,8501.0,14617.0,11146.0,2
636663.6800000003,7979114.58,0.017478,0.65,3.35,1.26,2.34,3.58,5.27,0.59,1419.7600000000002,9159.0,8565.0,8818.0,16327.0,12614.0,3
