X,Y,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B02,B03,B04,B06,B07,TARGET
638101.18,7980427.079999999,0.019204,0.69,7.76,2.34,3.54,7.05,16.51,0.39,1442.13,8877.0,8487.0,8387.0,14540.0,11194.0,5
638788.6800000003,7982802.079999999,0.013399000000000001,2.15,13.01,2.41,7.07,1.58,6.52,0.22,1418.71,9109.0,9015.0,9643.0,18440.0,14492.0,5
636976.1800000003,7975177.07,0.021554,0.22,4.11,5.01,4.88,14.0,18.42,0.78,1337.6,10281.0,9757.0,10786.0,20580.0,16547.0,4
636788.6800000003,7979114.58,0.016771,0.84,3.99,1.06,2.38,3.77,5.27,0.59,1419.66,9070.0,8530.0,8636.0,15134.0,12226.0,3
636226.1800000003,7971989.57,0.013631,3.37,21.24,6.44,14.01,2.27,6.73,0.33,1388.09,9249.0,8709.0,9080.0,15623.0,11508.0,2
636413.6800000003,7970302.059999999,0.170425,1.5,16.0,6.22,11.75,3.99,9.58,0.43,1256.16,9327.0,9234.0,9760.0,15196.0,11406.0,2
635976.1800000003,7979802.080000001,0.043691,0.37,20.93,3.84,7.55,7.33,39.54,0.25,1466.47,8788.0,8664.0,9328.0,15469.0,11731.0,3
639788.6800000003,7980364.58,0.01025,0.25,3.9,1.76,2.4,8.02,17.87,0.41,1388.5100000000002,9606.0,8924.0,9040.0,17872.0,14541.0,6
637163.6800000003,7978364.58,0.045002999999999994,0.79,10.45,4.61,7.37,5.47,15.37,0.35,1381.89,9773.0,9555.0,10055.0,17926.0,14373.0,3
634413.6800000003,7971927.070000001,0.050225,0.6,5.62,2.19,3.64,3.95,6.99,0.58,1259.12,8713.0,8218.0,8295.0,14723.0,10863.0,6
637788.6800000003,7979864.58,0.021852,1.16,17.25,2.54,7.28,4.46,15.37,0.27,1425.46,8999.0,8491.0,8573.0,13689.0,10950.0,2
639976.19,7980614.579999999,0.025305,0.28,2.56,0.87,1.96,6.65,13.47,0.51,1388.27,9421.0,8959.0,9026.0,17363.0,14286.0,6
638226.1800000003,7977052.07,0.054911,0.4,5.83,2.66,4.38,4.25,10.66,0.4,1386.39,10137.0,9987.0,10417.0,17308.0,14771.0,3
637788.6800000003,7979802.080000001,0.012966,1.03,13.93,2.63,6.83,4.0,13.27,0.28,1419.29,8742.0,8309.0,8196.0,13936.0,10809.0,2
638851.1800000003,7978739.58,0.013937,0.32,3.57,0.89,1.77,6.98,12.95,0.54,1418.45,9401.0,8766.0,8704.0,16620.0,13930.0,6
