X_SIR,Y_SIR,GT,K,TH,U,CT,U_K,TH_K,U_TH,MDT,B01,B02,B03,B04,B05,B06,B07,B08,B09,R,G,B,TARGET,UNID,COD
639601.18,7983239.58,0.038643,1.36,11.75,4.58,7.32,3.19,11.14,0.29,1366.08,9327,8607,7999,7949,14321,13753,9672,7738,5071,120,189,156,7,Fm_SB_F,PP4esbf
639663.68,7983239.58,0.034852,1.17,11.39,4.39,6.89,3.4,11.61,0.29,1365.18,9200,8423,7842,7693,14789,12856,8910,7902,5067,173,182,181,7,Fm_SB_F,PP4esbf
639726.18,7983239.58,0.032705,0.93,11.09,4.07,6.41,3.66,12.12,0.3,1363.49,9325,8581,8021,8070,14219,13951,9673,8278,5074,176,166,159,7,Fm_SB_F,PP4esbf
639788.69,7983239.58,0.045865,0.7,11.07,3.76,6.01,3.94,12.59,0.31,1361.07,9234,8450,7978,7972,15522,13418,9074,7744,5084,164,141,147,7,Fm_SB_F,PP4esbf
639851.19,7983239.58,0.060395,0.5,11.09,3.45,5.73,4.25,12.98,0.33,1358.14,9170,8377,7845,7695,15612,12589,8560,7999,5066,183,145,183,7,Fm_SB_F,PP4esbf
639913.69,7983239.58,0.060871,0.45,10.4,2.99,5.54,4.58,13.11,0.35,1353.96,9396,8683,8229,8084,16181,14014,9698,8330,5073,186,185,200,7,Fm_SB_F,PP4esbf
639976.19,7983239.58,0.058178,0.42,8.91,2.5,5.14,4.87,12.96,0.38,1348.7,9492,8733,8528,8276,13699,15150,10969,7866,5081,202,217,205,7,Fm_SB_F,PP4esbf
640038.69,7983239.58,0.052502,0.36,6.87,2.07,4.51,5.08,12.55,0.4,1342.78,9449,8680,8192,8000,15223,13540,9759,10039,5061,170,216,200,7,Fm_SB_F,PP4esbf
639663.68,7983177.08,0.037932,1.33,11.38,4.28,6.75,3.33,11.21,0.29,1365.06,9193,8509,7926,7758,15025,13040,9026,7776,5063,195,171,190,7,Fm_SB_F,PP4esbf
639726.18,7983177.08,0.039949,1.04,10.32,3.87,6.21,3.6,11.69,0.3,1363.81,9473,8739,8237,8379,13954,15217,10675,8024,5079,176,167,159,7,Fm_SB_F,PP4esbf
639788.69,7983177.08,0.036613,0.75,9.49,3.51,5.71,3.92,12.13,0.32,1361.95,9314,8577,8118,8192,14988,14418,9844,7967,5068,186,174,181,7,Fm_SB_F,PP4esbf
639851.19,7983177.08,0.039685000000000005,0.46,8.96,3.21,5.34,4.26,12.48,0.34,1359.54,9076,8239,7701,7409,17349,11229,7734,7519,5070,217,205,209,7,Fm_SB_F,PP4esbf
639913.69,7983177.08,0.047355,0.4,8.28,2.74,5.05,4.64,12.62,0.36,1355.96,9508,8826,8325,8360,16897,14438,9956,9446,5084,195,166,181,7,Fm_SB_F,PP4esbf
639976.19,7983177.08,0.042231,0.35,7.15,2.28,4.64,4.97,12.5,0.39,1351.34,9147,8386,7949,7790,15467,12722,9080,7745,5087,200,160,190,7,Fm_SB_F,PP4esbf
640038.69,7983177.08,0.048449,0.29,5.7,1.86,4.09,5.19,12.13,0.42,1345.8,9419,8719,8296,8416,14990,14802,10366,8106,5089,140,110,136,7,Fm_SB_F,PP4esbf
639663.68,7983114.58,0.037486,1.36,11.05,3.69,6.58,3.26,10.83,0.3,1364.91,9545,8846,8538,8595,13216,15920,11308,8239,5081,161,182,169,7,Fm_SB_F,PP4esbf
639726.18,7983114.58,0.044242,1.14,9.38,3.33,6.01,3.54,11.27,0.31,1364.14,9736,9046,8634,9019,12797,17049,12389,8421,5074,183,160,169,7,Fm_SB_F,PP4esbf
639788.69,7983114.58,0.048366,0.91,7.89,2.99,5.43,3.88,11.67,0.32,1362.69,10157,9518,9430,9902,14300,18415,13257,8656,5081,224,199,214,7,Fm_SB_F,PP4esbf
639851.19,7983114.58,0.047818,0.66,7.13,2.72,4.94,4.27,12.0,0.35,1360.67,9595,8950,8594,9048,13186,17361,12347,8541,5074,217,188,200,7,Fm_SB_F,PP4esbf
639913.69,7983114.58,0.038074,0.5,6.47,2.39,4.54,4.68,12.16,0.38,1357.69,9698,9045,8658,9107,13204,17324,12650,8659,5092,197,185,190,7,Fm_SB_F,PP4esbf
639976.19,7983114.58,0.029161000000000006,0.39,5.59,2.05,4.12,5.04,12.09,0.41,1353.81,9455,8791,8380,8656,14217,14943,10931,8434,5088,231,209,222,7,Fm_SB_F,PP4esbf
640038.69,7983114.58,0.039108,0.31,4.56,1.76,3.64,5.26,11.74,0.44,1348.68,9506,8840,8485,8871,14495,16267,11634,8362,5082,197,163,179,7,Fm_SB_F,PP4esbf
639851.19,7983052.08,0.040185000000000005,0.83,5.88,2.26,4.68,4.26,11.61,0.35,1361.6,9537,8866,8421,8790,12714,16825,12012,8538,5078,220,222,232,7,Fm_SB_F,PP4esbf
639851.19,7982989.58,0.02678,0.9,5.74,1.97,4.64,4.27,11.37,0.36,1362.2,9572,8886,8499,8909,12815,16968,12222,8550,5078,152,182,164,7,Fm_SB_F,PP4esbf
639976.19,7983052.08,0.033913,0.43,4.49,1.9,3.72,5.07,11.75,0.42,1355.55,9524,8813,8416,8802,12645,16895,12552,8495,5089,195,171,169,7,Fm_SB_F,PP4esbf
639726.18,7983052.08,0.033530000000000004,1.25,8.64,2.69,5.89,3.5,10.91,0.31,1364.43,9765,9101,8697,9105,12491,17552,12910,8731,5078,186,149,177,7,Fm_SB_F,PP4esbf
639788.69,7983052.08,0.036474,1.09,6.61,2.42,5.28,3.83,11.29,0.33,1363.34,9625,8970,8562,9003,12748,17068,12321,8722,5075,219,185,205,7,Fm_SB_F,PP4esbf
639913.69,7983052.08,0.04053,0.6,5.26,2.09,4.17,4.69,11.79,0.39,1358.99,9560,8902,8491,8946,12631,17051,12507,8634,5080,217,216,209,7,Fm_SB_F,PP4esbf
640038.69,7983052.08,0.030009,0.33,3.65,1.72,3.29,5.3,11.41,0.46,1351.0,9874,9247,9007,9363,13952,18695,14218,8904,5089,189,163,164,7,Fm_SB_F,PP4esbf
639726.18,7982989.58,0.027565,1.3,8.72,2.19,5.84,3.49,10.67,0.31,1364.87,9718,9088,8658,9065,12325,17460,12821,8884,5067,200,199,189,7,Fm_SB_F,PP4esbf
639788.69,7982989.58,0.027333,1.14,6.87,2.02,5.27,3.85,11.06,0.33,1363.86,9519,8867,8485,8910,13057,16566,11812,8604,5074,226,182,205,7,Fm_SB_F,PP4esbf
639913.69,7982989.58,0.027094,0.63,4.85,1.93,4.04,4.69,11.53,0.39,1359.88,9568,8899,8488,8931,12492,17204,12725,8596,5088,130,160,150,7,Fm_SB_F,PP4esbf
639976.19,7982989.58,0.028043,0.4,3.99,1.88,3.54,5.04,11.45,0.43,1356.81,9561,8855,8404,8463,13166,15891,11974,8512,5056,183,144,159,7,Fm_SB_F,PP4esbf
640038.69,7982989.58,0.025786,0.28,3.19,1.79,3.12,5.22,11.02,0.47,1352.79,9848,9074,8782,8616,14290,15996,12255,7941,5088,195,156,153,7,Fm_SB_F,PP4esbf
639726.18,7982927.08,0.021758,1.32,9.26,1.92,5.85,3.51,10.54,0.32,1365.45,9844,9193,8827,9264,12836,17533,12912,9015,5078,200,192,198,7,Fm_SB_F,PP4esbf
639788.69,7982927.08,0.022744,1.14,7.59,1.86,5.35,3.89,10.96,0.34,1364.14,9527,8881,8466,8887,12983,16547,11766,8511,5071,204,141,172,7,Fm_SB_F,PP4esbf
639851.19,7982927.08,0.023976,0.89,6.19,1.89,4.75,4.29,11.25,0.37,1362.33,9511,8850,8447,8860,12660,16826,12205,8553,5065,152,182,164,7,Fm_SB_F,PP4esbf
639913.69,7982927.08,0.023939,0.59,4.99,1.94,4.11,4.67,11.35,0.4,1360.17,9588,8954,8617,9061,13130,17188,12688,8586,5078,155,163,153,7,Fm_SB_F,PP4esbf
639976.19,7982927.08,0.022489,0.32,3.94,1.97,3.54,5.0,11.23,0.44,1357.46,9790,9091,8468,8305,12023,14672,12172,7757,5063,197,149,169,7,Fm_SB_F,PP4esbf
640038.69,7982927.08,0.022053,0.23,3.05,1.9,3.06,5.13,10.66,0.48,1353.7,9840,9232,8873,8677,14310,17330,13577,8842,5057,204,156,169,7,Fm_SB_F,PP4esbf
639726.18,7982864.58,0.020492,1.26,10.25,2.17,5.92,3.55,10.54,0.32,1365.52,9820,9153,8821,9210,12721,16811,12400,8977,5070,179,174,172,7,Fm_SB_F,PP4esbf
639788.69,7982864.58,0.020463,1.08,8.53,2.04,5.46,3.93,10.96,0.34,1363.88,9509,8831,8460,8847,12988,16260,11669,8488,5089,214,182,196,7,Fm_SB_F,PP4esbf
639851.19,7982864.58,0.020722,0.85,6.85,2.03,4.89,4.3,11.21,0.37,1361.94,9513,8812,8415,8824,12645,16284,11916,8504,5063,127,160,130,7,Fm_SB_F,PP4esbf
639913.69,7982864.58,0.02161,0.58,5.35,2.06,4.24,4.64,11.21,0.41,1359.78,9614,8955,8670,9156,12868,17317,12929,8769,5079,152,145,136,7,Fm_SB_F,PP4esbf
639976.19,7982864.58,0.023227,0.35,4.09,2.06,3.61,4.9,10.95,0.45,1357.26,9392,8606,8060,7865,12175,13429,10358,8105,5072,173,141,147,7,Fm_SB_F,PP4esbf
640038.69,7982864.58,0.021992,0.24,3.09,1.97,3.07,5.0,10.28,0.49,1353.61,9563,8871,8355,8108,13343,14408,11185,7770,5061,127,60,68,7,Fm_SB_F,PP4esbf
639726.18,7982802.08,0.022953,1.21,11.19,2.57,6.14,3.59,10.59,0.32,1365.36,9931,9277,8977,9629,13065,17044,12609,8593,5077,161,182,169,7,Fm_SB_F,PP4esbf
639788.69,7982802.08,0.021869,1.03,9.33,2.39,5.6,3.96,11.0,0.34,1363.14,9449,8743,8340,8660,12688,16091,11532,8427,5076,195,145,189,7,Fm_SB_F,PP4esbf
639851.19,7982802.08,0.021947,0.8,7.42,2.28,5.01,4.31,11.21,0.37,1360.87,9575,8921,8569,9036,12773,16982,12460,8588,5099,120,124,126,7,Fm_SB_F,PP4esbf
639913.69,7982802.08,0.02133,0.56,5.68,2.24,4.36,4.61,11.13,0.41,1358.6,9648,9011,8727,9278,13127,17589,13111,8938,5080,142,145,130,7,Fm_SB_F,PP4esbf
639976.19,7982802.08,0.020751,0.37,4.27,2.17,3.72,4.82,10.73,0.46,1356.03,9557,8799,8224,8076,12627,14700,11354,7929,5077,192,174,181,7,Fm_SB_F,PP4esbf
640038.69,7982802.08,0.021559,0.27,3.21,2.01,3.12,4.88,9.92,0.5,1352.72,9575,8846,8412,8134,12983,14865,11700,8128,5085,170,124,136,7,Fm_SB_F,PP4esbf
639726.18,7982739.58,0.028768,1.21,11.67,3.03,6.2,3.64,10.69,0.32,1364.6,10292,9589,9914,10275,12993,17789,13799,9831,5070,217,207,235,7,Fm_SB_F,PP4esbf
639788.69,7982739.58,0.026385,0.98,9.74,2.73,5.63,3.99,11.06,0.35,1361.77,9515,8801,8500,8621,12249,15591,11427,8528,5062,188,149,222,7,Fm_SB_F,PP4esbf
639851.19,7982739.58,0.022913,0.74,7.69,2.51,5.04,4.32,11.22,0.38,1359.1,9608,8917,8571,9055,12697,17036,12519,8751,5079,123,132,122,7,Fm_SB_F,PP4esbf
639913.69,7982739.58,0.023131,0.53,5.81,2.38,4.4,4.57,11.04,0.42,1356.65,9663,9048,8768,9329,13110,17581,13173,8909,5080,155,136,140,7,Fm_SB_F,PP4esbf
639976.19,7982739.58,0.021599,0.38,4.38,2.2,3.78,4.73,10.47,0.47,1354.09,9580,8882,8385,8520,12325,15851,12277,8702,5085,217,174,189,7,Fm_SB_F,PP4esbf
640038.69,7982739.58,0.017758000000000003,0.31,3.34,1.97,3.17,4.77,9.57,0.52,1351.19,9541,8765,8196,7991,12669,14562,11247,8224,5069,146,60,76,7,Fm_SB_F,PP4esbf
639663.68,7982677.08,0.027316000000000003,1.4,12.92,3.67,6.56,3.35,10.3,0.31,1366.38,10963,10454,10275,10857,15297,19452,14399,11362,5084,164,137,156,7,Fm_SB_F,PP4esbf
639726.18,7982677.08,0.029627,1.16,11.53,3.28,6.06,3.71,10.82,0.33,1363.24,9740,9052,8671,9006,12288,16986,12535,8618,5073,146,81,147,7,Fm_SB_F,PP4esbf
639788.69,7982677.08,0.031366000000000005,0.89,9.63,2.87,5.51,4.04,11.14,0.35,1359.92,10438,9856,10075,10405,14455,19781,14557,11793,5072,246,235,251,7,Fm_SB_F,PP4esbf
639851.19,7982677.08,0.029022000000000006,0.65,7.63,2.58,4.96,4.33,11.22,0.39,1356.76,9612,8936,8648,8852,12180,15686,11679,8034,5068,110,93,136,7,Fm_SB_F,PP4esbf
639913.69,7982677.08,0.021286000000000003,0.47,5.7,2.42,4.37,4.55,10.98,0.42,1354.06,9736,9049,8787,9103,12946,16778,12648,9049,5076,149,132,136,7,Fm_SB_F,PP4esbf
639976.19,7982677.08,0.021353,0.37,4.4,2.17,3.75,4.66,10.26,0.47,1351.61,9641,8963,8614,9100,12588,17329,13179,8450,5082,164,106,136,7,Fm_SB_F,PP4esbf
640038.69,7982677.08,0.021287,0.32,3.44,1.87,3.14,4.68,9.29,0.53,1349.05,9503,8785,8392,8395,12501,15498,11929,8290,5053,206,149,162,7,Fm_SB_F,PP4esbf
639601.18,7982614.58,0.023428,1.19,11.13,3.15,6.28,3.08,9.76,0.3,1368.56,9581,8922,8711,9211,13602,17009,12665,8832,5075,72,237,98,7,Fm_SB_F,PP4esbf
639663.68,7982614.58,0.023909,1.11,11.26,3.29,6.08,3.45,10.48,0.31,1365.09,9664,9003,8641,9089,12704,16879,12576,8884,5088,195,199,181,7,Fm_SB_F,PP4esbf
639726.18,7982614.58,0.025977,0.94,10.34,3.05,5.65,3.8,10.97,0.33,1361.36,9713,9041,8621,8972,12219,16974,12668,8709,5069,246,231,248,7,Fm_SB_F,PP4esbf
639788.69,7982614.58,0.027119,0.72,8.88,2.7,5.18,4.11,11.22,0.36,1357.69,9718,9031,8621,8765,12909,16212,11889,8803,5064,226,156,209,7,Fm_SB_F,PP4esbf
639851.19,7982614.58,0.026807,0.51,7.31,2.39,4.72,4.35,11.2,0.39,1354.27,9524,8864,8462,8747,12808,16426,11935,8423,5077,249,249,248,7,Fm_SB_F,PP4esbf
639913.69,7982614.58,0.022118,0.39,5.65,2.23,4.18,4.53,10.83,0.43,1351.29,9350,8570,8073,8081,11899,14239,10594,8103,5069,136,124,147,7,Fm_SB_F,PP4esbf
639976.19,7982614.58,0.017163,0.32,4.4,2.02,3.59,4.61,10.08,0.48,1348.8,9619,8972,8715,9253,13056,18316,13762,9176,5091,113,37,72,7,Fm_SB_F,PP4esbf
640038.69,7982614.58,0.016077,0.3,3.51,1.73,3.0,4.6,9.1,0.53,1346.46,9590,8903,8469,8705,12855,16709,12609,8593,5069,188,160,159,7,Fm_SB_F,PP4esbf
639788.69,7982552.08,0.023843,0.55,7.61,2.4,4.73,4.2,11.35,0.37,1355.29,9814,9135,8825,9206,13013,17243,12840,8895,5081,220,163,202,7,Fm_SB_F,PP4esbf
639663.68,7982552.08,0.020278,0.8,9.37,2.79,5.52,3.59,10.71,0.32,1363.6,9487,8809,8600,8926,13459,16193,11755,8274,5071,155,182,153,7,Fm_SB_F,PP4esbf
639726.18,7982552.08,0.021011,0.7,8.68,2.66,5.15,3.93,11.16,0.34,1359.29,9895,9252,9023,9693,13277,18062,13581,8791,5086,197,174,189,7,Fm_SB_F,PP4esbf
639851.19,7982552.08,0.022798,0.37,6.59,2.1,4.31,4.42,11.25,0.4,1351.66,9603,8886,8531,8692,12986,15658,11605,8155,5065,217,217,210,7,Fm_SB_F,PP4esbf
639913.69,7982552.08,0.021175,0.31,5.22,2.03,3.85,4.54,10.76,0.44,1348.51,9565,8903,8477,8471,13041,15451,11376,8577,5070,208,222,209,7,Fm_SB_F,PP4esbf
639976.19,7982552.08,0.021068,0.29,4.15,1.89,3.32,4.59,9.98,0.48,1345.85,9507,8821,8383,8453,12725,15889,12077,8725,5075,4,5,4,7,Fm_SB_F,PP4esbf
640038.69,7982552.08,0.01929,0.28,3.43,1.63,2.8,4.55,9.0,0.53,1343.72,9852,9280,8848,9076,13434,17549,13474,9608,5088,39,24,76,7,Fm_SB_F,PP4esbf
640038.69,7982489.58,0.018945,0.28,3.12,1.65,2.59,4.53,9.01,0.52,1340.92,9519,8778,8390,8368,12441,15458,11829,8800,5083,4,1,5,7,Fm_SB_F,PP4esbf
639726.18,7982489.58,0.024731,0.56,7.0,2.34,4.67,4.09,11.37,0.35,1357.07,9641,8971,8631,9022,12953,17159,12685,8845,5060,133,167,147,7,Fm_SB_F,PP4esbf
639788.69,7982489.58,0.024397,0.47,5.87,2.22,4.29,4.34,11.49,0.37,1352.83,9657,8949,8624,8970,12864,17078,12698,8618,5081,220,194,210,7,Fm_SB_F,PP4esbf
639851.19,7982489.58,0.024882,0.36,5.1,2.05,3.87,4.5,11.28,0.4,1349.14,9564,8897,8538,8777,12884,16816,12410,8791,5066,239,228,228,7,Fm_SB_F,PP4esbf
639913.69,7982489.58,0.021554,0.31,4.28,1.97,3.45,4.59,10.76,0.44,1345.8,9521,8807,8402,8571,13458,16282,11812,8552,5072,161,124,136,7,Fm_SB_F,PP4esbf
639976.19,7982489.58,0.018828,0.28,3.61,1.86,3.02,4.59,9.97,0.48,1342.97,9940,9362,9116,9461,13957,17591,13667,9844,5068,4,2,9,7,Fm_SB_F,PP4esbf
639726.18,7982427.08,0.031391,0.49,5.58,2.09,4.27,4.28,11.61,0.36,1354.92,9901,9230,8920,8919,12302,14480,11457,9284,5062,155,167,169,7,Fm_SB_F,PP4esbf
639788.68,7982427.08,0.027975,0.44,4.24,2.1,3.9,4.51,11.7,0.38,1350.54,9718,9066,8582,8815,12492,16061,12200,8557,5061,216,194,213,7,Fm_SB_F,PP4esbf
639851.19,7982427.08,0.025412,0.36,3.77,2.02,3.5,4.62,11.41,0.41,1346.73,9699,9042,8666,9042,12878,17925,13290,8674,5094,130,81,136,7,Fm_SB_F,PP4esbf
639913.69,7982427.08,0.022303,0.32,3.39,1.96,3.11,4.67,10.85,0.44,1343.25,9641,8999,8609,8988,13873,17508,13109,8397,5059,161,136,169,7,Fm_SB_F,PP4esbf
639976.19,7982427.08,0.018914,0.29,3.04,1.89,2.75,4.63,10.07,0.48,1340.28,9467,8662,8742,8509,15044,13604,10361,7496,5062,41,76,60,7,Fm_SB_F,PP4esbf
640038.69,7982427.08,0.016665,0.3,2.75,1.74,2.43,4.54,9.13,0.51,1338.25,9297,8508,8140,7949,13176,13357,10028,7829,5090,28,16,41,7,Fm_SB_F,PP4esbf
639788.68,7982364.58,0.02404,0.36,3.68,1.91,3.57,4.7,11.93,0.39,1348.36,9456,8689,8276,8077,13275,13509,10552,7640,5062,208,81,219,7,Fm_SB_F,PP4esbf
639851.19,7982364.58,0.024001,0.33,3.19,1.93,3.22,4.77,11.61,0.42,1344.46,9409,8661,8222,8162,12953,15257,11283,8107,5071,23,6,28,7,Fm_SB_F,PP4esbf
639913.69,7982364.58,0.021077,0.3,2.92,1.92,2.86,4.77,11.04,0.44,1340.99,9415,8696,8301,8174,13264,15115,11104,9080,5075,54,24,76,7,Fm_SB_F,PP4esbf
639976.19,7982364.58,0.0176,0.29,2.71,1.9,2.55,4.7,10.27,0.47,1338.04,9321,8521,8184,7739,14259,12048,8978,8085,5054,176,219,156,7,Fm_SB_F,PP4esbf
640038.69,7982364.58,0.015552000000000003,0.3,2.49,1.86,2.3,4.58,9.34,0.5,1336.25,9928,9226,8796,8871,13230,17011,13437,8874,5082,79,115,94,7,Fm_SB_F,PP4esbf
639913.69,7982302.08,0.016428,0.28,2.84,1.86,2.7,4.91,11.3,0.44,1339.39,9698,8955,8510,8355,12801,14999,11816,7967,5084,41,65,94,7,Fm_SB_F,PP4esbf
639788.68,7982302.08,0.017726,0.27,3.4,1.87,3.32,4.91,12.2,0.4,1346.95,10616,9991,9607,10102,14391,20048,16725,9095,5080,13,1,2,7,Fm_SB_F,PP4esbf
639851.19,7982302.08,0.015997,0.28,3.04,1.87,3.02,4.95,11.87,0.42,1342.83,9828,9067,8911,8881,13931,16113,12383,9407,5067,2,2,2,7,Fm_SB_F,PP4esbf
639976.19,7982302.08,0.016513999999999997,0.29,2.68,1.82,2.42,4.81,10.55,0.47,1336.69,9258,8444,8061,7561,13192,12227,9049,7827,5065,236,230,217,7,Fm_SB_F,PP4esbf
640038.69,7982302.08,0.014147,0.3,2.53,1.75,2.2,4.64,9.63,0.49,1335.56,9320,8484,7984,7551,12560,12383,9146,7926,5080,127,202,187,7,Fm_SB_F,PP4esbf
639788.68,7982239.58,0.016457,0.25,3.45,1.88,3.22,5.17,12.57,0.41,1346.39,10100,9423,9047,9325,12732,18101,15337,9879,5082,152,61,196,7,Fm_SB_F,PP4esbf
639851.19,7982239.58,0.014628,0.26,3.17,1.85,2.92,5.16,12.21,0.42,1342.05,9688,8958,8465,8399,12522,14613,11609,8685,5067,13,5,22,7,Fm_SB_F,PP4esbf
639913.69,7982239.58,0.011313,0.28,2.99,1.8,2.62,5.09,11.64,0.44,1338.57,9875,9158,8577,8672,12213,16419,13737,8401,5089,17,10,16,7,Fm_SB_F,PP4esbf
639976.19,7982239.58,0.01218,0.3,2.84,1.71,2.37,4.95,10.91,0.46,1336.21,9300,8530,8093,7690,12749,12888,9487,7848,5073,86,54,94,7,Fm_SB_F,PP4esbf
640038.69,7982239.58,0.013880000000000002,0.33,2.69,1.56,2.15,4.75,10.0,0.49,1335.63,9360,8573,7997,7730,12148,12838,9636,7659,5067,83,93,114,7,Fm_SB_F,PP4esbf
639788.68,7982177.08,0.014908,0.25,3.7,1.88,3.16,5.49,13.05,0.41,1346.62,10136,9471,9118,9359,12592,17182,14725,8848,5089,206,54,153,7,Fm_SB_F,PP4esbf
639851.19,7982177.08,0.014745,0.26,3.47,1.85,2.88,5.43,12.65,0.43,1342.08,9783,9056,8488,8501,11975,15046,12648,8437,5076,106,24,122,7,Fm_SB_F,PP4esbf
639913.69,7982177.08,0.015162,0.29,3.29,1.8,2.6,5.32,12.08,0.44,1338.52,9797,9091,8618,8744,12440,16751,13728,8618,5080,136,54,122,7,Fm_SB_F,PP4esbf
639976.19,7982177.08,0.011658,0.32,3.11,1.67,2.37,5.16,11.36,0.46,1336.53,9291,8474,8038,7621,13319,12326,9375,8068,5087,39,6,11,7,Fm_SB_F,PP4esbf
640038.69,7982177.08,0.013891,0.35,2.91,1.45,2.15,4.94,10.49,0.48,1336.49,9243,8442,7885,7490,13737,12109,8922,8020,5070,52,37,64,7,Fm_SB_F,PP4esbf
639788.68,7982114.58,0.014854,0.22,4.14,1.82,3.07,5.87,13.62,0.42,1347.48,10045,9357,8804,8991,12521,17017,14550,9326,5054,217,89,196,7,Fm_SB_F,PP4esbf
639851.19,7982114.58,0.01295,0.25,3.9,1.83,2.83,5.77,13.18,0.43,1342.92,9956,9279,8715,8889,12275,16837,14375,8815,5051,214,54,177,7,Fm_SB_F,PP4esbf
639913.69,7982114.58,0.013494999999999998,0.28,3.71,1.84,2.6,5.62,12.61,0.44,1339.46,10071,9372,8961,9259,13048,17467,14466,8798,5073,200,47,130,7,Fm_SB_F,PP4esbf
639976.19,7982114.58,0.01396,0.31,3.49,1.77,2.39,5.44,11.93,0.46,1337.9,9375,8594,8130,7872,12719,13643,10128,8274,5072,211,132,181,7,Fm_SB_F,PP4esbf
640038.69,7982114.58,0.015338,0.32,3.22,1.56,2.17,5.23,11.13,0.48,1338.67,9292,8517,8078,7819,13230,12700,9415,7706,5076,190,171,200,7,Fm_SB_F,PP4esbf
639851.19,7982052.08,0.014787,0.25,4.3,1.78,2.76,6.15,13.78,0.44,1344.64,10277,9711,9304,9702,13381,18350,15250,9465,5086,223,61,147,7,Fm_SB_F,PP4esbf
639913.69,7982052.08,0.012712,0.29,4.11,1.85,2.58,5.98,13.23,0.45,1341.36,9405,8578,8329,8176,12953,15095,11430,8480,5067,214,57,136,7,Fm_SB_F,PP4esbf
639976.19,7982052.08,0.014536000000000004,0.29,3.85,1.9,2.39,5.81,12.63,0.46,1340.26,9276,8495,8232,8070,13516,13486,10023,7794,5055,197,106,147,7,Fm_SB_F,PP4esbf
640038.69,7982052.08,0.017185,0.29,3.45,1.69,2.18,5.65,11.96,0.48,1341.88,9405,8711,8279,8432,12613,15637,11465,8529,5093,188,145,189,7,Fm_SB_F,PP4esbf
639913.69,7981989.58,0.016962,0.31,4.39,1.74,2.53,6.43,13.98,0.45,1344.15,9501,8723,8252,8274,12872,15429,11576,8162,5070,225,106,189,7,Fm_SB_F,PP4esbf
639851.19,7981989.58,0.017299000000000002,0.26,4.53,1.66,2.66,6.59,14.44,0.45,1347.02,10119,9446,9088,9473,12843,17645,15037,9095,5075,239,85,196,7,Fm_SB_F,PP4esbf
639976.19,7981989.58,0.016488,0.3,4.01,1.8,2.37,6.33,13.57,0.47,1343.7,9345,8628,8259,8241,13314,13584,10198,7822,5059,242,238,241,7,Fm_SB_F,PP4esbf
640038.69,7981989.58,0.018483000000000003,0.27,3.48,1.74,2.18,6.22,13.09,0.48,1345.58,9768,9300,9239,9990,14147,18000,13220,9309,5090,66,106,68,7,Fm_SB_F,PP4esbf
639851.19,7981927.08,0.018614,0.26,4.56,1.49,2.52,7.07,15.14,0.46,1349.66,9848,9188,8829,9190,12737,17532,14126,9019,5071,226,77,179,7,Fm_SB_F,PP4esbf
639913.69,7981927.08,0.023141,0.32,4.47,1.6,2.45,6.91,14.81,0.46,1347.42,9606,8913,8510,8811,13678,15479,11997,7994,5061,208,61,136,7,Fm_SB_F,PP4esbf
639976.19,7981927.08,0.020634,0.28,3.97,1.73,2.32,6.94,14.72,0.47,1347.49,9565,8970,8762,9181,13521,16267,12159,8796,5049,170,174,196,7,Fm_SB_F,PP4esbf
640038.69,7981927.08,0.019265,0.21,3.31,1.81,2.16,6.91,14.51,0.48,1349.36,9752,9246,9088,9804,13820,17580,13151,9134,5078,54,120,47,7,Fm_SB_F,PP4esbf
639851.19,7981864.58,0.010304,0.22,4.26,1.33,2.32,7.58,15.91,0.47,1352.49,9378,8616,8063,7836,13577,13372,10208,7859,5049,247,120,205,7,Fm_SB_F,PP4esbf
639913.69,7981864.58,0.020053,0.25,4.09,1.51,2.28,7.55,15.94,0.47,1351.13,9140,8375,8071,7729,14618,11228,8454,8495,5064,161,69,130,7,Fm_SB_F,PP4esbf
639976.19,7981864.58,0.019059,0.2,3.63,1.73,2.2,7.64,16.15,0.47,1351.55,9737,9238,9038,9732,13574,18019,13456,9316,5096,216,209,209,7,Fm_SB_F,PP4esbf
640038.69,7981864.58,0.018633,0.12,3.04,1.93,2.1,7.7,16.28,0.48,1353.29,10013,9488,9232,9986,13555,18061,14060,8736,5076,186,213,172,7,Fm_SB_F,PP4esbf
639851.19,7981802.08,0.005652,0.22,3.26,1.45,2.12,8.1,16.72,0.47,1355.49,9224,8411,7907,7565,12589,11960,9124,7347,5069,226,34,94,7,Fm_SB_F,PP4esbf
639913.69,7981802.08,0.006962,0.19,3.31,1.57,2.11,8.15,17.1,0.47,1354.79,9458,8735,8822,8551,16207,14839,10871,9983,5066,148,69,130,7,Fm_SB_F,PP4esbf
639976.19,7981802.08,0.012944,0.13,3.08,1.78,2.07,8.32,17.71,0.47,1355.49,9898,9291,9279,9862,14025,19424,14755,9433,5077,208,226,204,7,Fm_SB_F,PP4esbf
640038.69,7981802.08,0.018764,0.10203459449991208,2.81,2.0,2.04,8.44,18.28,0.47,1357.42,10330,9784,9368,9778,13549,18076,14395,9645,5061,239,230,217,7,Fm_SB_F,PP4esbf
639788.68,7981739.58,0.015762,0.16,2.83,1.5,1.97,8.87,17.58,0.49,1359.89,9893,9209,8681,8900,12539,17789,14844,8798,5091,229,81,177,7,Fm_SB_F,PP4esbf
