X,Y,GT,K,TH,U,U_K,TH_K,U_TH,MDT,B01,B02,B03,B04,B05,B06,B07,R,G,B,TARGET,UNID,COD
638663.6800000003,7981552.08,0.076001,0.38,3.98,2.21,3.11,6.51,0.49,1435.25,9439,8673,8164,8288,13873,15656,11371,208,199,185,6,Fm_GM,PP4egm
638663.6800000003,7981489.58,0.054137,0.41,3.66,2.44,3.11,6.91,0.47,1433.84,9737,9071,8665,8944,12704,17906,13743,195,189,169,6,Fm_GM,PP4egm
638726.1800000003,7981489.58,0.071591,0.57,5.3,2.63,2.72,6.97,0.41,1430.14,9717,9036,8791,9117,12867,17693,13716,197,160,153,6,Fm_GM,PP4egm
638788.6800000003,7981489.58,0.055794,0.8,7.26,2.88,2.4,7.16,0.36,1425.73,9545,8862,8606,8891,13373,16064,11973,226,208,202,6,Fm_GM,PP4egm
638851.1800000003,7981489.58,0.033372000000000006,1.05,9.2,3.17,2.21,7.5,0.33,1421.32,9498,8742,8545,8667,13115,15789,11648,161,167,130,6,Fm_GM,PP4egm
638788.6800000003,7981427.079999999,0.028260000000000007,0.85,6.6,2.97,2.51,7.64,0.36,1422.72,9443,8705,8261,8287,12890,15269,11403,142,107,106,6,Fm_GM,PP4egm
638663.6800000003,7981427.079999999,0.051313,0.44,3.2,2.62,3.14,7.37,0.44,1432.31,10002,9347,8898,9163,12529,18497,14848,226,175,200,6,Fm_GM,PP4egm
638726.1800000003,7981427.079999999,0.047716,0.62,4.74,2.8,2.8,7.47,0.4,1427.89,9690,9016,8531,8604,12828,16202,12264,170,107,122,6,Fm_GM,PP4egm
638663.6800000003,7981364.58,0.048052,0.49,2.99,2.77,3.18,7.87,0.42,1430.14,9973,9285,8858,8972,12917,17907,14332,224,150,198,6,Fm_GM,PP4egm
638726.1800000003,7981364.58,0.044078,0.64,4.2,2.87,2.87,7.93,0.38,1425.09,9601,8904,8317,8311,12884,15765,11898,243,171,217,6,Fm_GM,PP4egm
638788.6800000003,7981364.58,0.035136,0.83,5.69,2.97,2.59,8.06,0.35,1419.27,9256,8434,7986,7687,13368,13541,10323,217,160,177,6,Fm_GM,PP4egm
638663.6800000003,7981302.08,0.042386,0.53,3.17,2.77,3.21,8.35,0.4,1427.84,10148,9562,9334,9861,13373,19258,15450,228,150,187,6,Fm_GM,PP4egm
640038.69,7981614.579999999,0.023754,0.12,2.43,1.7,9.03,23.7,0.41,1366.47,9528,8765,8562,8986,14164,16352,12244,183,250,189,6,Fm_GM,PP4egm
640038.69,7981552.08,0.024093,0.2,3.47,1.42,8.81,25.31,0.39,1367.67,9524,8711,8287,8161,12736,14750,11084,27,207,41,6,Fm_GM,PP4egm
639976.19,7981489.58,0.028794,0.21,4.28,1.22,8.25,23.08,0.4,1365.98,9433,8673,7963,7703,12142,13065,10235,66,119,76,6,Fm_GM,PP4egm
640038.69,7981489.58,0.027867000000000003,0.2,5.18,1.39,8.56,26.9,0.37,1368.34,9788,9099,8748,8902,13095,16362,12751,83,141,68,6,Fm_GM,PP4egm
639976.19,7981427.079999999,0.038595,0.17,5.88,1.39,7.78,23.35,0.38,1366.35,9546,8859,8127,8053,12176,13776,11006,206,98,147,6,Fm_GM,PP4egm
640038.69,7981427.079999999,0.036322,0.18,6.96,1.52,8.3,28.19,0.34,1368.94,9740,9119,8614,8952,12759,17071,13222,197,156,169,6,Fm_GM,PP4egm
639913.69,7981364.58,0.05969500000000001,0.18,6.1,1.63,7.12,19.59,0.4,1364.24,9575,8887,8465,8897,10628,14586,13434,161,119,118,6,Fm_GM,PP4egm
639976.19,7981364.58,0.05674700000000001,0.18,6.98,1.66,7.45,23.73,0.36,1366.66,9940,9306,9076,9871,13014,16085,13029,186,115,153,6,Fm_GM,PP4egm
640038.69,7981364.58,0.051492,0.16,8.26,1.75,8.07,29.19,0.33,1369.52,10665,10241,10147,11238,14937,18902,15049,161,57,85,6,Fm_GM,PP4egm
639913.69,7981302.08,0.083412,0.23,6.36,1.86,6.61,18.73,0.39,1364.84,9726,9053,8761,9533,11882,15135,13961,164,98,110,6,Fm_GM,PP4egm
639976.19,7981302.08,0.07951799999999999,0.21,7.16,1.87,7.09,23.48,0.36,1367.31,9948,9280,9171,9739,13562,16026,12694,176,110,140,6,Fm_GM,PP4egm
640038.69,7981302.08,0.070999,0.18,8.53,1.94,7.81,29.41,0.32,1370.33,9674,8993,8738,9213,11832,14857,12003,204,119,153,6,Fm_GM,PP4egm
639851.1800000003,7981239.58,0.108566,0.33,4.54,1.69,6.18,15.41,0.43,1363.82,9560,8840,8626,9062,12780,15858,12297,202,119,136,6,Fm_GM,PP4egm
639913.69,7981239.58,0.102421,0.32,5.11,1.79,6.28,18.21,0.39,1365.81,9501,8798,8378,8689,12494,15226,11883,204,115,136,6,Fm_GM,PP4egm
640038.69,7981239.58,0.08919099999999999,0.22,7.41,1.98,7.54,28.82,0.31,1371.59,9618,8997,8652,9218,12852,14942,11957,179,76,118,6,Fm_GM,PP4egm
639976.19,7981239.58,0.0965,0.28,6.01,1.87,6.79,22.89,0.35,1368.45,9579,8884,8653,9177,12579,15689,12363,195,76,129,6,Fm_GM,PP4egm
639851.1800000003,7981177.080000001,0.129563,0.41,3.4,1.65,5.85,14.67,0.44,1365.72,9598,8985,8753,9212,14050,18198,13384,110,54,60,6,Fm_GM,PP4egm
639913.69,7981177.080000001,0.120924,0.42,3.45,1.66,6.0,17.46,0.4,1367.75,9617,8970,8855,9404,13649,18311,13391,173,110,122,6,Fm_GM,PP4egm
639976.19,7981177.080000001,0.112771,0.36,4.28,1.78,6.53,21.97,0.35,1370.37,9614,8990,8954,9674,13405,18069,13306,113,60,76,6,Fm_GM,PP4egm
640038.69,7981177.080000001,0.107113,0.27,5.56,1.94,7.29,27.66,0.31,1373.27,9661,9068,9066,9785,13908,17586,12950,117,65,85,6,Fm_GM,PP4egm
639851.1800000003,7981114.58,0.12108900000000003,0.45,2.47,1.63,5.62,13.96,0.44,1368.94,9786,9154,9006,9640,13349,19147,14739,93,205,136,6,Fm_GM,PP4egm
639913.69,7981114.58,0.126049,0.45,2.33,1.61,5.83,16.66,0.4,1370.87,9972,9385,9233,9805,13476,19439,15151,158,233,185,6,Fm_GM,PP4egm
639976.19,7981114.58,0.10753,0.4,2.8,1.71,6.35,20.84,0.36,1373.04,9772,9189,9324,10104,14008,18980,14528,164,201,164,6,Fm_GM,PP4egm
640038.69,7981114.58,0.108812,0.34,3.75,1.87,7.09,26.08,0.31,1375.34,9730,9120,8992,9663,13271,18079,13717,173,188,164,6,Fm_GM,PP4egm
639913.69,7981052.08,0.116594,0.44,1.57,1.57,5.71,15.8,0.41,1374.67,10188,9613,9580,10023,13946,18982,15035,232,163,189,6,Fm_GM,PP4egm
639976.19,7981052.08,0.114111,0.41,1.74,1.65,6.22,19.54,0.37,1376.12,10003,9477,9696,10475,14470,19067,15180,226,185,207,6,Fm_GM,PP4egm
640038.69,7981052.08,0.091221,0.37,2.35,1.8,6.93,24.29,0.32,1377.64,9966,9400,9549,10422,14656,18646,14627,231,209,222,6,Fm_GM,PP4egm
639913.69,7980989.580000001,0.059651,0.4,1.3,1.52,5.64,14.97,0.43,1378.59,9667,8994,8572,8602,13392,16899,13112,148,106,129,6,Fm_GM,PP4egm
639976.19,7980989.580000001,0.074335,0.38,1.33,1.58,6.1,18.31,0.38,1379.31,10162,9679,9645,10402,15120,19177,15044,223,170,204,6,Fm_GM,PP4egm
640038.69,7980989.580000001,0.075363,0.35,1.91,1.73,6.76,22.61,0.34,1380.05,9739,9180,9174,9742,14115,17511,13659,219,170,196,6,Fm_GM,PP4egm
639788.6800000003,7980927.079999999,0.050566,0.33,2.45,1.54,5.44,11.35,0.5,1378.7,9654,8907,8355,8255,11643,14823,12216,247,249,253,6,Fm_GM,PP4egm
639851.1800000003,7980927.079999999,0.045242,0.34,1.85,1.46,5.46,12.48,0.48,1381.4000000000005,9803,9133,8602,8703,12101,17152,13951,214,205,217,6,Fm_GM,PP4egm
639913.69,7980927.079999999,0.050363,0.35,1.41,1.4,5.64,14.31,0.44,1382.03,9721,9049,8616,8578,12682,17659,13940,188,141,153,6,Fm_GM,PP4egm
639976.19,7980927.079999999,0.050255,0.33,1.31,1.47,6.05,17.09,0.4,1382.22,9878,9217,8976,9294,13351,17878,14016,247,248,251,6,Fm_GM,PP4egm
640038.69,7980927.079999999,0.054504,0.3,1.8,1.62,6.66,20.95,0.36,1382.23,10027,9509,9854,10361,14540,18722,14783,219,185,202,6,Fm_GM,PP4egm
639976.19,7980864.579999999,0.044066,0.3,1.53,1.3,6.07,16.03,0.42,1384.44,10937,10471,9840,10293,14295,19503,16130,249,249,253,6,Fm_GM,PP4egm
639663.6800000003,7980864.579999999,0.070211,0.26,3.02,1.77,5.73,10.72,0.53,1373.81,10282,9716,9197,9573,14071,19576,16080,208,202,176,6,Fm_GM,PP4egm
639726.1800000003,7980864.579999999,0.057548,0.25,3.1,1.49,5.66,11.02,0.52,1377.84,9776,9091,8408,8365,12230,15248,12398,202,132,185,6,Fm_GM,PP4egm
639788.6800000003,7980864.579999999,0.042338,0.25,2.98,1.27,5.58,11.5,0.51,1381.31,9692,8976,8325,8263,11740,16471,13199,240,233,248,6,Fm_GM,PP4egm
639851.1800000003,7980864.579999999,0.038757,0.27,2.41,1.19,5.57,12.34,0.49,1383.35,10242,9608,9132,9253,12125,16733,13579,212,132,209,6,Fm_GM,PP4egm
639913.69,7980864.579999999,0.042273000000000005,0.3,1.81,1.19,5.71,13.76,0.46,1384.19,9970,9318,8721,8729,12513,16846,13361,188,65,147,6,Fm_GM,PP4egm
640038.69,7980864.579999999,0.045806,0.29,1.85,1.49,6.68,19.34,0.39,1384.22,10592,10214,9495,10133,14364,18784,15445,239,225,248,6,Fm_GM,PP4egm
639663.6800000003,7980802.079999999,0.051629,0.18,3.02,1.6,6.02,11.43,0.53,1375.3,11210,10775,10534,11315,15742,22141,18317,117,149,89,6,Fm_GM,PP4egm
639726.1800000003,7980802.079999999,0.042664,0.18,3.37,1.29,5.94,11.65,0.52,1379.18,10412,9828,9634,9923,13708,18523,15375,158,76,129,6,Fm_GM,PP4egm
639788.6800000003,7980802.079999999,0.03465,0.19,3.55,1.01,5.82,11.93,0.51,1382.58,9616,8889,8208,7921,12354,13894,11272,208,174,220,6,Fm_GM,PP4egm
639851.1800000003,7980802.079999999,0.035352,0.23,2.95,0.95,5.75,12.39,0.49,1384.44,10570,9953,9411,9699,12910,17406,14513,195,76,153,6,Fm_GM,PP4egm
639913.6800000003,7980802.079999999,0.036372,0.27,2.25,0.99,5.84,13.37,0.47,1385.5100000000002,10197,9555,9145,9315,12735,16926,13757,219,115,207,6,Fm_GM,PP4egm
639976.19,7980802.079999999,0.037498,0.29,1.78,1.13,6.16,15.1,0.45,1386.0,10048,9400,8946,9100,13162,18817,15406,246,241,251,6,Fm_GM,PP4egm
640038.69,7980802.079999999,0.038163,0.29,1.83,1.36,6.77,17.88,0.42,1385.72,11117,10640,9999,10417,14615,18666,15579,240,226,248,6,Fm_GM,PP4egm
639663.6800000003,7980739.58,0.037422,0.16,2.89,1.54,6.43,12.45,0.52,1376.41,10664,10196,9922,10581,15185,21044,17055,212,231,235,6,Fm_GM,PP4egm
639726.1800000003,7980739.58,0.033221,0.17,3.29,1.23,6.32,12.51,0.51,1379.57,12778,12654,11333,12155,16491,21473,18237,151,110,129,6,Fm_GM,PP4egm
639788.6800000003,7980739.58,0.030021,0.19,3.42,0.98,6.13,12.46,0.51,1382.61,9509,8744,8149,7879,11601,13352,10522,170,132,155,6,Fm_GM,PP4egm
639851.1800000003,7980739.58,0.031263,0.23,3.04,0.86,5.99,12.57,0.5,1384.86,10243,9615,9147,9298,12830,17998,14832,158,57,118,6,Fm_GM,PP4egm
639913.6800000003,7980739.58,0.031771,0.26,2.49,0.86,6.02,13.13,0.49,1386.33,10377,9704,9666,9936,12891,17345,14444,183,98,185,6,Fm_GM,PP4egm
639976.19,7980739.58,0.032421,0.29,2.03,0.98,6.31,14.43,0.47,1387.05,10091,9409,9110,9225,13065,17858,14821,224,110,179,6,Fm_GM,PP4egm
640038.69,7980739.58,0.032706,0.28,1.97,1.2,6.98,16.83,0.46,1386.6,9801,9107,8670,8682,12960,16019,13227,238,115,179,6,Fm_GM,PP4egm
639663.6800000003,7980677.08,0.031053,0.17,2.75,1.57,6.94,13.77,0.51,1377.59,9337,8605,8085,7967,15272,13740,10292,173,174,189,6,Fm_GM,PP4egm
639726.1800000003,7980677.08,0.027755,0.19,3.07,1.31,6.78,13.63,0.5,1379.85,11010,10435,10213,10630,14483,19358,15943,176,141,167,6,Fm_GM,PP4egm
639788.6800000003,7980677.08,0.026929,0.22,3.12,1.09,6.49,13.21,0.5,1382.45,9654,8952,8352,8138,11660,14010,11343,250,241,248,6,Fm_GM,PP4egm
639851.1800000003,7980677.08,0.027514,0.26,2.9,0.92,6.25,12.89,0.5,1385.11,10021,9386,8957,8982,13024,18407,14988,190,69,140,6,Fm_GM,PP4egm
639913.6800000003,7980677.08,0.0284,0.29,2.55,0.83,6.21,13.01,0.5,1387.06,9706,9023,8446,8478,11864,14884,11703,239,115,200,6,Fm_GM,PP4egm
639976.19,7980677.08,0.028612,0.29,2.23,0.88,6.46,13.83,0.5,1387.93,9815,9066,8637,8582,12787,15302,12618,215,115,200,6,Fm_GM,PP4egm
640038.69,7980677.08,0.028556,0.27,2.07,1.13,7.2,15.92,0.49,1387.12,11160,10500,10784,11367,15059,19204,16769,223,115,196,6,Fm_GM,PP4egm
639726.1800000003,7980614.579999999,0.023458,0.23,2.6,1.54,7.27,14.95,0.49,1380.69,11082,10673,9778,10123,14433,17547,14873,106,174,122,6,Fm_GM,PP4egm
639788.6800000003,7980614.579999999,0.023483,0.27,2.71,1.33,6.87,14.14,0.49,1383.19,9608,8877,8241,8118,11055,15031,12451,204,192,209,6,Fm_GM,PP4egm
639851.1800000003,7980614.579999999,0.024208,0.31,2.67,1.13,6.52,13.37,0.49,1385.69,10047,9482,8897,8983,12460,18301,14909,204,54,136,6,Fm_GM,PP4egm
639913.6800000003,7980614.579999999,0.024823,0.33,2.56,0.95,6.4,13.07,0.5,1387.54,9802,9080,8602,8728,12915,15222,12050,243,132,196,6,Fm_GM,PP4egm
639976.19,7980614.579999999,0.025305,0.28,2.56,0.87,6.65,13.47,0.51,1388.27,10045,9421,8959,9026,12915,17363,14286,158,54,114,6,Fm_GM,PP4egm
640038.69,7980614.579999999,0.02527,0.26,2.23,1.16,7.46,15.15,0.52,1387.1500000000005,10237,9616,9393,9769,13141,15971,13555,214,115,181,6,Fm_GM,PP4egm
639726.1800000003,7980552.08,0.018647,0.27,2.33,1.78,7.8,16.43,0.47,1382.3,12120,11737,11206,12185,16411,21738,19001,97,115,97,6,Fm_GM,PP4egm
639788.6800000003,7980552.08,0.019468,0.31,2.49,1.62,7.23,15.15,0.47,1384.39,9677,8974,8450,8255,11909,14269,11649,240,222,241,6,Fm_GM,PP4egm
639851.1800000003,7980552.08,0.020721,0.35,2.48,1.48,6.75,13.92,0.49,1386.42,9932,9319,8675,8654,12670,16039,13382,225,84,185,6,Fm_GM,PP4egm
639913.6800000003,7980552.08,0.021532,0.39,2.36,1.35,6.59,13.25,0.5,1387.7600000000002,10952,10398,10148,10656,14318,19455,17000,241,98,187,6,Fm_GM,PP4egm
639976.19,7980552.08,0.022017,0.33,2.39,1.3,6.93,13.47,0.52,1387.87,10025,9388,8798,9000,12343,15823,13115,133,76,106,6,Fm_GM,PP4egm
640038.69,7980552.08,0.022273,0.28,2.27,1.45,7.74,14.63,0.54,1386.58,10660,10042,10164,10610,14439,19846,16681,224,136,187,6,Fm_GM,PP4egm
639726.1800000003,7980489.58,0.0137,0.26,2.98,1.8,8.24,17.85,0.45,1384.31,10368,9914,9618,10186,14724,20440,16939,231,182,191,6,Fm_GM,PP4egm
639788.6800000003,7980489.58,0.014755,0.3,2.86,1.81,7.54,16.12,0.45,1385.79,9655,8948,8485,8311,12067,15054,12513,176,99,136,6,Fm_GM,PP4egm
639851.1800000003,7980489.58,0.016513,0.33,2.68,1.84,6.94,14.43,0.47,1387.18,9756,9080,8429,8283,12205,16264,12950,176,69,133,6,Fm_GM,PP4egm
639913.6800000003,7980489.58,0.017931,0.35,2.47,1.86,6.72,13.32,0.5,1387.95,10263,9632,9088,9348,12865,18428,15807,188,60,129,6,Fm_GM,PP4egm
639976.19,7980489.58,0.018975,0.31,2.45,1.77,7.11,13.32,0.53,1387.47,10013,9292,8857,9061,12473,14726,11675,243,156,217,6,Fm_GM,PP4egm
640038.69,7980489.58,0.019746,0.27,2.46,1.75,7.94,14.07,0.57,1385.86,11007,10460,10575,10880,14270,20491,16926,188,65,140,6,Fm_GM,PP4egm
639788.6800000003,7980427.079999999,0.009513,0.27,3.42,1.86,7.81,17.05,0.43,1387.18,9654,8940,8269,8097,11393,14881,12235,239,174,196,6,Fm_GM,PP4egm
639851.1800000003,7980427.079999999,0.011939,0.28,3.1,2.03,7.11,14.91,0.46,1387.87,9998,9364,8719,8756,12336,17849,14915,208,77,155,6,Fm_GM,PP4egm
639913.6800000003,7980427.079999999,0.014225,0.28,2.76,2.21,6.79,13.36,0.5,1388.04,10243,9648,9347,9576,12670,18195,15518,197,61,129,6,Fm_GM,PP4egm
639976.19,7980427.079999999,0.016272,0.27,2.72,2.05,7.21,13.15,0.54,1387.07,10369,9910,9152,9670,13154,18546,15025,233,99,183,6,Fm_GM,PP4egm
640038.69,7980427.079999999,0.017737,0.23,2.75,1.93,8.06,13.6,0.61,1385.25,10544,9897,9302,9575,12572,17792,14480,178,81,169,6,Fm_GM,PP4egm
639788.6800000003,7980364.58,0.01025,0.25,3.9,1.76,8.02,17.87,0.41,1388.5100000000002,10144,9606,8924,9040,13063,17872,14541,231,174,196,6,Fm_GM,PP4egm
639851.1800000003,7980364.58,0.011503,0.24,3.63,1.9,7.3,15.53,0.44,1388.44,10243,9618,9087,9165,12726,16790,14217,197,47,136,6,Fm_GM,PP4egm
639913.6800000003,7980364.58,0.013166,0.24,3.29,2.03,7.05,13.95,0.49,1387.95,10347,9797,9463,9983,12925,16616,13800,231,77,155,6,Fm_GM,PP4egm
639976.19,7980364.58,0.015397,0.23,3.09,1.98,7.39,13.35,0.55,1386.61,10928,10321,10114,10446,13726,19700,16618,190,61,153,6,Fm_GM,PP4egm
640038.69,7980364.58,0.016887,0.19,2.95,1.92,8.18,13.37,0.64,1384.61,10564,9970,9428,9738,12884,17491,14164,170,61,133,6,Fm_GM,PP4egm
639788.6800000003,7980302.08,0.021564,0.25,4.16,1.63,8.13,18.4,0.39,1389.77,10099,9567,9295,9794,14531,20650,16624,197,160,153,6,Fm_GM,PP4egm
639851.1800000003,7980302.08,0.021286000000000003,0.22,4.02,1.68,7.42,15.97,0.43,1388.97,10022,9333,8971,9289,12261,14934,12546,188,106,153,6,Fm_GM,PP4egm
639913.6800000003,7980302.08,0.019219,0.22,3.67,1.76,7.27,14.49,0.48,1387.94,11118,10721,10888,12055,15930,20658,17465,206,65,136,6,Fm_GM,PP4egm
639976.19,7980302.08,0.018934,0.21,3.36,1.77,7.59,13.68,0.56,1386.31,11628,11105,11037,11581,15057,20534,17354,178,99,164,6,Fm_GM,PP4egm
640038.69,7980302.08,0.020524,0.18,3.04,1.77,8.3,13.33,0.67,1384.09,10229,9627,9114,9360,12493,17797,14386,217,110,196,6,Fm_GM,PP4egm
639851.1800000003,7980239.58,0.028412,0.28,3.99,1.55,7.64,16.55,0.42,1389.47,10158,9596,9433,9873,13410,18515,14991,142,89,118,6,Fm_GM,PP4egm
639913.6800000003,7980239.58,0.026796,0.25,3.77,1.55,7.52,15.06,0.48,1387.92,11292,10798,10671,11443,15036,20170,16578,93,43,76,6,Fm_GM,PP4egm
639976.19,7980239.58,0.02279,0.22,3.49,1.53,7.8,14.07,0.57,1386.09,9529,8766,8265,8445,11586,16146,12308,250,239,252,6,Fm_GM,PP4egm
640038.69,7980239.58,0.019699,0.2,3.14,1.51,8.39,13.34,0.71,1383.72,9488,8734,8074,8142,11332,15701,12125,208,99,185,6,Fm_GM,PP4egm
639851.1800000003,7980177.080000001,0.027479000000000003,0.32,3.91,1.5,7.84,16.95,0.43,1389.95,10617,10063,9794,10120,13505,19278,15637,133,54,118,6,Fm_GM,PP4egm
639913.6800000003,7980177.080000001,0.027861,0.26,3.76,1.45,7.8,15.55,0.49,1387.8,9767,9162,8795,9031,12873,17017,13247,188,132,200,6,Fm_GM,PP4egm
639976.19,7980177.080000001,0.025773,0.22,3.53,1.39,8.05,14.48,0.59,1385.6500000000005,9483,8760,8089,8202,11425,15926,12084,231,149,207,6,Fm_GM,PP4egm
640038.69,7980177.080000001,0.021222,0.2,3.2,1.31,8.56,13.52,0.75,1383.31,9613,8863,8244,8318,11296,15900,12454,142,89,110,6,Fm_GM,PP4egm
639913.6800000003,7980114.58,0.022375,0.24,3.8,1.45,8.17,16.09,0.52,1387.58,10782,10161,9802,10129,13678,18718,15094,238,182,228,6,Fm_GM,PP4egm
639851.1800000003,7980114.58,0.022067,0.28,4.04,1.55,8.18,17.49,0.44,1390.21,10431,9862,9284,9524,12920,17940,14314,246,213,243,6,Fm_GM,PP4egm
639976.19,7980114.58,0.020984,0.19,3.54,1.37,8.38,14.91,0.62,1385.03,9702,8965,8380,8484,11178,16281,12913,170,106,140,6,Fm_GM,PP4egm
640038.69,7980114.58,0.01924,0.16,3.22,1.3,8.78,13.7,0.78,1382.73,9503,8769,8121,8130,11201,15007,11621,133,77,114,6,Fm_GM,PP4egm
639913.6800000003,7980052.08,0.016339,0.2,3.76,1.48,8.73,16.79,0.55,1387.38,9708,9010,8511,8669,11761,16876,12954,219,124,187,6,Fm_GM,PP4egm
639976.1800000003,7980052.08,0.015913,0.16,3.45,1.38,8.84,15.38,0.66,1384.56,9751,9016,8487,8587,11230,16133,13030,210,145,200,6,Fm_GM,PP4egm
640038.69,7980052.08,0.015350999999999997,0.11,3.15,1.34,9.11,13.94,0.82,1382.25,9951,9259,8646,8744,11256,16120,13269,133,40,68,6,Fm_GM,PP4egm
639976.1800000003,7979989.580000001,0.012998,0.17,3.15,1.32,9.47,15.86,0.71,1384.23,9323,8567,8000,7874,11609,13871,10202,130,54,106,6,Fm_GM,PP4egm
640038.69,7979989.580000001,0.013519,0.14,2.81,1.25,9.56,13.97,0.89,1381.88,9320,8555,7905,7767,11775,13390,9824,204,89,176,6,Fm_GM,PP4egm
639976.1800000003,7979927.08,0.011795,0.2,2.67,1.21,10.25,16.36,0.77,1383.81,10262,9534,9241,9476,12478,16714,13578,89,106,68,6,Fm_GM,PP4egm
640038.69,7979927.08,0.013382,0.19,2.35,1.12,10.11,13.99,0.95,1381.79,9838,9142,8522,8630,11680,15860,12226,57,61,37,6,Fm_GM,PP4egm
639976.1800000003,7979864.58,0.012661,0.2,2.05,1.08,11.14,16.71,0.84,1383.59,10367,9666,9289,9538,12267,17358,14059,176,81,153,6,Fm_GM,PP4egm
640038.69,7979864.58,0.01408,0.21,1.83,0.98,10.7,13.92,1.02,1381.85,10057,9373,8755,8924,11786,16529,13006,136,47,118,6,Fm_GM,PP4egm
640038.69,7979802.080000001,0.014729,0.21,1.38,0.91,11.21,13.63,1.09,1382.22,10663,10061,9543,9881,12796,17610,14356,239,149,224,6,Fm_GM,PP4egm
638663.6800000003,7982864.579999999,0.011679,1.27,8.38,1.95,2.05,6.68,0.3,1416.3,9930,9258,8767,9168,12689,18082,14017,25,5,60,6,Fm_GM,PP4egm
638601.1800000003,7982802.079999999,0.016004,1.33,8.74,1.97,2.13,6.64,0.32,1420.12,10120,9475,9331,9943,13298,18360,14201,206,137,185,6,Fm_GM,PP4egm
638538.68,7982739.58,0.009838,1.2,7.08,1.8,2.31,6.58,0.35,1422.04,9679,8976,8718,9108,12857,16618,12737,220,125,179,6,Fm_GM,PP4egm
638601.1800000003,7982739.58,0.012272,1.54,9.46,2.06,2.01,6.68,0.29,1423.75,9815,9108,8878,9349,12685,17230,13419,206,150,169,6,Fm_GM,PP4egm
638538.68,7982677.08,0.00542,1.23,6.98,1.77,2.21,6.65,0.33,1425.49,9656,8998,8745,9202,13074,16823,12762,200,94,150,6,Fm_GM,PP4egm
638601.1800000003,7982677.08,0.005793,1.64,9.42,2.11,1.92,6.72,0.27,1426.73,9530,8793,8418,8669,11926,16402,12550,202,145,169,6,Fm_GM,PP4egm
638538.68,7982614.579999999,0.010296,1.09,6.49,1.56,2.15,6.68,0.32,1428.87,9869,9188,8891,9270,13009,17051,13231,202,150,177,6,Fm_GM,PP4egm
638601.1800000003,7982614.579999999,0.008503,1.51,9.22,1.81,1.89,6.71,0.27,1429.32,9589,8855,8521,8895,12208,16292,12504,211,189,185,6,Fm_GM,PP4egm
638538.68,7982552.08,0.008648999999999999,0.87,5.5,1.31,2.14,6.69,0.31,1431.77,11114,10410,11045,11587,15123,19956,17364,206,116,181,6,Fm_GM,PP4egm
638601.1800000003,7982552.08,0.009667,1.3,8.31,1.54,1.89,6.69,0.27,1431.4000000000005,9496,8756,8383,8538,12432,15307,11658,217,167,210,6,Fm_GM,PP4egm
638538.68,7982489.58,0.006142,0.69,4.64,1.26,2.21,6.67,0.33,1434.17,9892,9208,8835,9080,12286,17302,13758,216,111,158,6,Fm_GM,PP4egm
638601.1800000003,7982489.58,0.007912,1.06,7.03,1.43,1.94,6.67,0.28,1433.08,9547,8791,8371,8445,12350,15346,11896,238,175,217,6,Fm_GM,PP4egm
638601.1800000003,7982427.079999999,0.006881,0.82,5.63,1.37,2.04,6.63,0.3,1434.46,9866,9163,8839,9027,12954,17019,13453,239,186,217,6,Fm_GM,PP4egm
638663.6800000003,7982427.079999999,0.008151,1.19,7.75,1.59,1.77,6.52,0.26,1430.78,9465,8665,8139,8118,11807,14380,11246,190,104,133,6,Fm_GM,PP4egm
638601.1800000003,7982364.58,0.006895,0.61,4.48,1.29,2.16,6.58,0.32,1435.74,9893,9292,8775,9122,12856,16779,13177,249,221,241,6,Fm_GM,PP4egm
638663.6800000003,7982364.58,0.0075400000000000016,0.85,5.98,1.45,1.87,6.45,0.28,1431.7600000000002,10128,9488,9431,9852,13689,18655,15038,217,111,172,6,Fm_GM,PP4egm
638601.1800000003,7982302.08,0.005937,0.45,3.61,1.18,2.32,6.54,0.35,1437.3,11218,10603,10445,11022,14433,19623,16813,246,216,240,6,Fm_GM,PP4egm
638663.6800000003,7982302.08,0.005986,0.57,4.69,1.28,1.99,6.4,0.31,1432.91,10270,9610,9262,9637,13012,17890,15065,204,125,164,6,Fm_GM,PP4egm
638726.1800000003,7982302.08,0.00639,0.72,5.56,1.47,1.68,6.13,0.27,1428.29,10274,9615,9106,9561,13139,18317,15371,239,150,203,6,Fm_GM,PP4egm
638601.1800000003,7982239.58,0.005005,0.33,2.95,1.06,2.5,6.52,0.39,1439.05,11124,10569,10359,10909,14073,19358,16371,221,111,167,6,Fm_GM,PP4egm
638663.6800000003,7982239.58,0.004219,0.41,3.74,1.14,2.14,6.35,0.34,1434.5,10257,9667,9228,9587,13090,17834,14489,247,214,240,6,Fm_GM,PP4egm
638726.1800000003,7982239.58,0.004107,0.53,4.4,1.3,1.8,6.03,0.3,1429.93,10395,9783,9356,9784,13536,19499,16099,219,124,191,6,Fm_GM,PP4egm
638663.6800000003,7982177.080000001,0.004262,0.32,3.12,1.06,2.31,6.36,0.36,1435.88,10192,9537,9093,9395,12811,17681,14445,247,216,246,6,Fm_GM,PP4egm
638726.1800000003,7982177.080000001,0.0033350000000000003,0.46,3.86,1.18,1.93,6.0,0.32,1431.62,9935,9260,8954,9286,12850,17740,14159,208,90,164,6,Fm_GM,PP4egm
