X,Y,ENTROPY
638976.180,7980177.080,1.315
640038.690,7982739.580,0.857
638913.680,7980239.580,1.285
636976.180,7977989.570,0.911
636413.680,7979364.580,0.942
638976.180,7973052.070,1.656
638226.180,7973052.070,1.052
637913.680,7974239.570,1.103
635976.180,7974114.570,1.655
637288.680,7976552.070,0.065
636976.180,7973552.070,0.692
638413.680,7979927.080,0.581
637851.180,7975239.570,0.756
639101.180,7978989.580,1.320
636663.680,7974927.070,0.459
636913.680,7975364.570,0.157
636226.180,7970739.560,0.634
638476.180,7971739.560,0.408
638226.180,7977802.070,1.071
635601.180,7971114.560,0.981
636976.180,7978739.580,0.868
636538.680,7973614.570,0.496
635913.680,7970302.060,1.255
634288.680,7971177.060,1.504
638413.680,7978427.080,0.805
635163.680,7972052.070,0.639
637726.180,7980239.580,1.250
636851.180,7975989.570,0.791
637101.180,7972239.570,1.027
637726.180,7975114.570,0.310
639163.680,7973927.070,0.911
638538.680,7973177.070,1.215
637288.680,7975552.070,0.608
637663.680,7982364.580,1.300
637038.680,7977052.070,0.231
638288.680,7981427.080,0.958
635413.680,7969927.060,1.163
635913.680,7971989.570,0.469
635726.180,7978239.580,1.745
635851.180,7970302.060,0.855
636538.680,7974489.570,1.038
639163.680,7972677.070,1.401
638663.680,7982052.080,1.354
636101.180,7971177.060,1.037
637976.180,7977802.070,1.557
639038.680,7981739.580,0.361
636601.180,7970239.560,0.347
636413.680,7977739.570,0.765
636601.180,7979489.580,0.447
636726.180,7978989.580,1.328
636351.180,7971302.060,0.815
636851.180,7976614.570,0.708
638726.180,7981552.080,1.191
636038.680,7978552.080,1.750
638726.180,7977614.570,1.360
637226.180,7977239.570,0.065
639288.680,7973177.070,0.792
638413.680,7973114.570,1.179
634601.180,7972052.070,0.198
638976.180,7972302.070,0.584
635101.180,7970489.560,1.098
635601.180,7969052.060,1.064
637851.180,7974177.070,0.691
636163.680,7977177.070,0.760
637038.680,7972489.570,0.991
638851.180,7972302.070,1.033
637288.680,7978364.580,1.306
638476.180,7982677.080,1.456
636226.180,7978364.580,1.020
636351.180,7977927.070,1.008
637851.180,7972927.070,1.628
636601.180,7974427.070,0.882
637976.180,7979052.080,0.961
637538.680,7983114.580,0.669
638038.680,7976239.570,0.664
638851.180,7979989.580,1.135
637163.680,7978864.580,0.763
638101.180,7979427.080,0.887
636351.180,7978989.580,1.039
637788.680,7978052.070,1.328
635976.180,7976802.070,0.355
637976.180,7976052.070,0.187
636538.680,7974052.070,1.346
639163.680,7981239.580,0.809
637788.680,7982427.080,1.210
638851.180,7980302.080,1.183
637226.180,7980114.580,0.124
636601.180,7972427.070,1.014
638538.680,7979864.580,1.155
637663.680,7974927.070,0.474
634538.680,7969364.560,1.029
635976.180,7977552.070,1.299
639413.680,7983114.580,0.441
636476.180,7972739.570,1.223
638226.180,7979739.580,1.216
638226.180,7982614.580,1.403
638663.680,7976239.570,1.290
639163.680,7971677.060,1.545
637976.180,7978989.580,1.033
638538.680,7972739.570,1.009
636351.180,7974114.570,1.208
637476.180,7974989.570,0.186
636288.680,7972239.570,0.972
636101.180,7971802.070,0.319
638913.680,7975364.570,1.466
638163.680,7973364.570,1.246
636538.680,7979302.080,1.561
636351.180,7977739.570,1.138
637663.680,7976989.570,0.274
639288.680,7980802.080,1.534
636851.180,7972677.070,1.142
637788.680,7976177.070,0.911
637788.680,7980114.580,1.235
638726.180,7981927.080,1.656
638226.180,7975489.570,0.561
636226.180,7976364.570,0.824
638351.180,7972302.070,0.463
637726.180,7981864.580,1.034
636726.180,7978552.080,0.945
635726.180,7976552.070,1.370
638413.680,7975802.070,0.842
636476.180,7977114.570,0.289
637913.680,7977739.570,1.370
637288.680,7977114.570,0.155
635663.680,7969052.060,1.486
638476.180,7978739.580,0.764
638101.180,7976677.070,1.366
635976.180,7979864.580,0.240
636288.680,7972614.570,0.491
637663.680,7972864.570,1.384
637601.180,7979114.580,0.572
638851.180,7980739.580,0.817
636351.180,7970489.560,0.448
634788.680,7971927.070,1.627
637038.680,7975302.070,0.249
638226.180,7975614.570,0.589
636476.180,7973239.570,0.981
638288.680,7980614.580,0.720
637726.180,7976177.070,0.255
637351.180,7977864.570,0.221
637976.180,7983239.580,1.366
635038.680,7969364.560,0.887
634788.680,7971114.560,1.819
634976.180,7971802.070,0.794
639038.680,7981864.580,0.308
637663.680,7980364.580,0.824
636601.180,7972614.570,1.034
637663.680,7976489.570,0.716
637038.680,7972552.070,1.049
639101.180,7978114.570,0.839
638163.680,7978302.080,1.015
638538.680,7980489.580,1.217
635601.180,7974552.070,1.165
637601.180,7981739.580,0.671
639163.680,7980177.080,1.072
636726.180,7975989.570,0.458
637476.180,7975802.070,1.081
638663.680,7979114.580,0.687
636288.680,7971989.570,0.891
636976.180,7973177.070,1.223
634976.180,7972114.570,1.465
635476.180,7970864.560,0.227
636601.180,7972802.070,1.449
638163.680,7982677.080,1.438
638726.180,7976489.570,1.337
639288.680,7981489.580,0.965
637226.180,7975427.070,0.470
637288.680,7972864.570,0.938
639413.680,7981739.580,1.404
637476.180,7971802.060,0.544
636788.680,7975802.070,0.894
635288.680,7971989.570,1.388
638726.180,7975864.570,0.556
634538.680,7971114.560,1.350
638913.680,7981427.080,0.697
637663.680,7975427.070,0.990
636413.680,7976364.570,0.549
638851.180,7973677.070,1.000
638538.680,7971802.060,0.516
636538.680,7979489.580,0.351
635538.680,7969927.060,0.679
638663.680,7973052.070,1.165
637163.680,7973052.070,1.317
638663.680,7976427.070,1.456
636101.180,7979052.080,1.384
637976.180,7977864.570,1.599
640038.690,7981302.080,0.692
639601.180,7981927.080,1.006
637976.180,7975739.570,1.516
636288.680,7972989.570,1.413
639101.180,7971927.060,1.501
636476.180,7977364.570,0.645
636288.680,7973489.570,0.853
636351.180,7979239.580,1.586
636851.180,7977677.070,0.589
639288.680,7974989.570,1.063
638913.680,7981739.580,0.438
636601.180,7973427.070,0.556
639726.180,7979739.580,1.531
637351.180,7980927.080,0.846
638538.680,7972239.570,0.849
638663.680,7975677.070,0.143
634476.180,7970677.060,1.223
638226.180,7978864.580,1.215
638413.680,7982177.080,1.300
637913.680,7972989.570,1.397
636163.680,7977552.070,0.959
639476.180,7981927.080,0.847
637413.680,7982177.080,0.997
636538.680,7976989.570,0.303
638476.180,7977614.570,1.407
636226.180,7970364.560,0.913
639038.680,7971427.060,1.365
637351.180,7981364.580,0.618
635476.180,7971989.570,1.309
636913.680,7972927.070,1.199
635913.680,7977864.570,1.248
638413.680,7982239.580,1.811
639288.680,7981802.080,0.828
635538.680,7971802.070,0.867
638788.680,7973052.070,1.260
635976.180,7971489.560,0.526
636726.180,7979802.080,0.260
639163.680,7980927.080,1.149
636101.180,7969927.060,1.127
638226.180,7982364.580,1.266
638726.180,7973239.570,1.523
637413.680,7977177.070,0.189
638663.680,7980989.580,1.675
636163.680,7977052.070,0.720
638976.180,7975239.570,1.379
638163.680,7971677.060,1.013
638601.180,7980427.080,1.445
638538.680,7979114.580,0.492
638663.680,7972802.070,1.459
637663.680,7974364.570,0.945
636101.180,7976239.570,0.881
635726.180,7969364.560,1.252
637851.180,7973302.070,1.454
637726.180,7978239.570,1.062
635788.680,7978802.080,1.587
638226.180,7979614.580,1.530
637726.180,7971864.570,0.241
635976.180,7978614.580,0.790
637663.680,7971989.570,0.291
638476.180,7972114.570,0.556
639851.190,7982177.080,1.067
