X,Y,MLR
635851.1800000003,7979114.58,3
637101.18,7978302.08,3
636476.1800000003,7979052.08,3
636476.1800000003,7971364.559999998,1
636038.68,7972427.07,1
637913.6800000003,7978364.58,4
636476.1800000003,7978677.08,3
637601.1800000003,7980364.58,3
635913.6800000003,7980114.58,3
637351.1800000003,7979114.58,3
638788.6800000003,7972739.57,4
635538.68,7970302.059999999,2
639788.6800000003,7981739.580000001,6
636351.1800000003,7978114.570000001,5
636788.6800000003,7979177.080000001,5
635163.6800000003,7971302.059999999,5
637913.6800000003,7977239.57,2
637163.6800000003,7976739.57,2
635663.6800000003,7971427.059999999,2
636226.1800000003,7979802.080000001,3
636351.1800000003,7978239.58,5
637038.68,7978114.570000001,2
637788.6800000003,7979614.579999999,3
638788.6800000003,7980114.58,5
638538.68,7977302.0699999975,6
637788.6800000003,7972302.0699999975,2
636663.6800000003,7979114.58,3
635851.1800000003,7978552.08,3
639101.18,7982114.58,5
636476.1800000003,7978927.079999999,3
636351.1800000003,7970739.559999999,1
635851.1800000003,7973552.0699999975,6
638476.1800000003,7973739.5699999975,3
636288.6800000003,7979177.080000001,3
639976.19,7982114.58,6
635788.6800000003,7970427.059999999,2
637351.1800000003,7980239.58,3
637851.1800000003,7978489.58,5
638288.6800000003,7981677.080000001,3
637538.68,7977239.57,2
638038.68,7977927.070000001,4
639038.68,7978114.570000001,3
636851.1800000003,7979114.58,6
639101.18,7978614.579999999,6
635663.6800000003,7973614.57,6
638226.1800000003,7974552.0699999975,4
638351.1800000003,7981489.58,3
636476.1800000003,7970614.559999998,1
637226.1800000003,7977489.5699999975,2
637726.1800000003,7977052.07,2
638726.1800000003,7978739.58,6
638413.6800000003,7976864.570000001,6
638413.6800000003,7978177.07,4
638101.18,7973614.57,3
635851.1800000003,7976802.07,4
638601.1800000003,7979614.579999999,5
639163.6800000003,7974177.07,4
638851.1800000003,7981927.08,5
637476.1800000003,7977864.570000001,2
638663.6800000003,7975989.57,5
636663.6800000003,7979177.080000001,6
636351.1800000003,7971802.0699999975,1
637038.68,7975239.57,4
639976.19,7980114.58,6
636913.6800000003,7979489.58,3
636101.18,7973677.07,6
637788.6800000003,7978302.08,5
640038.69,7982177.080000001,6
639288.6800000003,7973239.57,3
639913.69,7981364.58,6
636038.68,7976927.070000001,4
636851.1800000003,7979927.08,3
638413.6800000003,7976302.0699999975,3
638288.6800000003,7976177.07,3
636851.1800000003,7971614.559999998,2
636726.1800000003,7973114.570000001,3
636663.6800000003,7976177.07,4
637163.6800000003,7976864.570000001,2
634288.6800000003,7971802.0699999975,6
637538.68,7979989.580000001,3
635413.6800000003,7971489.559999999,2
635476.1800000003,7971614.559999998,2
637913.6800000003,7979177.080000001,5
635726.1800000003,7978177.080000001,5
637538.68,7972239.57,2
639851.1800000003,7980864.579999999,6
634726.1800000003,7969552.059999998,5
637226.1800000003,7976614.570000001,2
636288.6800000003,7979239.58,3
635663.6800000003,7970427.059999999,2
638788.6800000003,7981864.58,5
637226.1800000003,7972302.0699999975,4
638913.6800000003,7978364.58,6
638351.1800000003,7971614.559999998,4
637726.1800000003,7981239.58,3
635788.6800000003,7974177.07,5
638726.1800000003,7979302.08,6
638038.68,7974989.57,1
638038.68,7980427.079999999,3
635663.6800000003,7969739.56,2
638788.6800000003,7974552.0699999975,4
635726.1800000003,7973802.0699999975,6
638913.6800000003,7977802.0699999975,6
639976.19,7981302.08,6
637976.1800000003,7980114.58,3
636288.6800000003,7973927.070000001,3
634163.6800000003,7971989.57,6
636163.6800000003,7979052.08,3
638976.1800000003,7972052.07,5
636288.6800000003,7972177.07,2
638038.68,7980052.08,5
639413.6800000003,7982552.08,5
639101.18,7982864.579999999,5
637601.1800000003,7978552.08,2
636413.6800000003,7973802.0699999975,6
636663.6800000003,7973239.57,4
638976.1800000003,7978614.579999999,6
634413.6800000003,7972177.07,6
639226.1800000003,7978427.079999999,6
636476.1800000003,7970739.559999999,1
638913.6800000003,7978739.58,6
638788.6800000003,7978239.57,3
637226.1800000003,7977302.0699999975,2
637726.1800000003,7979427.079999999,3
636351.1800000003,7971864.570000001,1
636913.6800000003,7980114.58,3
638288.6800000003,7975927.070000001,2
638413.6800000003,7978614.579999999,4
637538.68,7978864.579999999,3
636163.6800000003,7976177.07,4
636601.1800000003,7973614.57,6
638663.6800000003,7971614.559999998,4
639351.1800000003,7980239.58,6
639976.19,7981427.079999999,6
639226.1800000003,7982364.58,5
636851.1800000003,7979177.080000001,5
639913.6800000003,7980489.58,6
637851.1800000003,7971427.059999999,2
637288.6800000003,7978864.579999999,3
638976.1800000003,7978677.08,6
638663.6800000003,7981552.08,3
634163.6800000003,7972052.07,6
638226.1800000003,7978739.58,4
638601.1800000003,7982427.079999999,5
639163.6800000003,7978802.079999999,4
639913.69,7981677.080000001,6
636538.68,7970614.559999998,2
638726.1800000003,7981364.58,3
637601.1800000003,7977302.0699999975,2
635726.1800000003,7971239.559999999,2
639163.6800000003,7979864.58,6
637788.6800000003,7975552.0699999975,4
637726.1800000003,7975927.070000001,2
639038.68,7981177.080000001,5
635413.6800000003,7971302.059999999,2
639913.6800000003,7980614.579999999,6
637788.6800000003,7978239.57,5
639038.68,7977927.070000001,3
638726.1800000003,7980489.58,5
636538.68,7977864.570000001,5
636101.18,7980114.58,3
638413.6800000003,7976739.57,6
639226.1800000003,7979177.080000001,4
634788.6800000003,7970177.06,1
638038.68,7974489.5699999975,2
639726.1800000003,7983114.58,5
637413.6800000003,7974552.0699999975,4
637851.1800000003,7975677.07,4
637538.68,7980989.580000001,3
637538.68,7982989.580000001,6
638288.6800000003,7978802.079999999,4
640038.69,7980364.58,4
638913.6800000003,7978489.58,6
636288.6800000003,7970677.059999999,1
636851.1800000003,7976677.070000001,4
634601.1800000003,7972177.07,6
639288.6800000003,7973302.0699999975,3
636413.6800000003,7972864.570000001,4
638538.68,7978614.579999999,6
639163.6800000003,7978239.57,6
636913.6800000003,7977239.57,4
638976.1800000003,7981864.58,5
634851.1800000003,7970677.059999999,2
637101.18,7974802.07,4
635413.6800000003,7970989.56,2
638226.1800000003,7974864.570000001,4
638538.68,7982677.08,5
637226.1800000003,7978864.579999999,3
639413.6800000003,7982114.58,5
636601.1800000003,7970802.059999998,1
637226.1800000003,7977739.5699999975,2
639101.18,7975489.5699999975,3
638101.18,7978302.08,4
634163.6800000003,7972114.570000001,6
638351.1800000003,7972614.570000001,4
637788.6800000003,7978864.579999999,2
636851.1800000003,7978364.58,5
637413.6800000003,7978864.579999999,3
638601.1800000003,7978677.08,6
636538.68,7970864.559999998,1
638913.6800000003,7973552.0699999975,4
637601.1800000003,7975427.07,4
634226.1800000003,7971489.559999999,6
638663.6800000003,7981302.08,3
638163.6800000003,7977864.570000001,4
637476.1800000003,7979427.079999999,4
634976.1800000003,7969927.06,2
639226.1800000003,7981364.58,5
634538.68,7972177.07,6
638351.1800000003,7980302.08,5
635726.1800000003,7976552.0699999975,5
639601.1800000003,7981552.08,6
637976.1800000003,7976864.570000001,2
639101.18,7981864.58,5
639913.69,7980864.579999999,6
637351.1800000003,7977177.07,2
639101.18,7978739.58,6
638663.6800000003,7974989.57,3
638476.1800000003,7972802.07,4
636351.1800000003,7972614.570000001,4
638788.6800000003,7981739.580000001,5
638351.1800000003,7977239.57,5
638476.1800000003,7977302.0699999975,5
636101.18,7972177.07,1
638413.6800000003,7976239.57,3
639163.6800000003,7978052.07,6
637913.6800000003,7982864.579999999,6
636538.68,7971239.559999999,1
638476.1800000003,7976989.57,3
638038.68,7975864.570000001,4
637726.1800000003,7972427.07,4
638288.6800000003,7977239.57,5
637663.6800000003,7980239.58,3
635976.1800000003,7970739.559999999,1
635788.6800000003,7980114.58,3
638976.1800000003,7980489.58,5
636913.6800000003,7971427.059999999,2
637976.1800000003,7976739.57,2
639413.6800000003,7980677.08,5
638788.6800000003,7978489.58,6
635788.6800000003,7969864.559999999,2
638351.1800000003,7980989.580000001,5
639976.19,7981489.58,6
638726.1800000003,7975677.07,2
635226.1800000003,7971927.070000001,5
635163.6800000003,7971052.059999999,2
638101.18,7978489.58,4
636976.1800000003,7976864.570000001,2
637601.1800000003,7972677.070000001,1
634663.6800000003,7972052.07,6
639038.68,7982114.58,5
636476.1800000003,7970302.059999999,2
638726.1800000003,7977114.570000001,5
638476.1800000003,7982864.579999999,3
636476.1800000003,7971239.559999999,1
635476.1800000003,7970927.06,2
639788.6800000003,7979802.080000001,6
638913.6800000003,7979552.08,6
636913.6800000003,7975802.0699999975,4
635851.1800000003,7974677.070000001,4
637038.68,7978614.579999999,4
637726.1800000003,7973739.5699999975,2
639038.68,7973614.57,4
639101.18,7978427.079999999,6
638913.6800000003,7978552.08,6
638101.18,7977927.070000001,4
639101.18,7980802.079999999,5
635976.1800000003,7971677.06,2
636476.1800000003,7979552.08,3
636288.6800000003,7970614.559999998,1
639851.1800000003,7981239.58,6
638726.1800000003,7978364.58,6
637226.1800000003,7973739.5699999975,4
637163.6800000003,7977989.57,1
637663.6800000003,7980864.579999999,6
636413.6800000003,7971802.0699999975,1
635226.1800000003,7969864.559999999,2
638976.1800000003,7978427.079999999,6
637163.6800000003,7980052.08,3
640038.69,7979989.580000001,4
637351.1800000003,7979552.08,3
637101.18,7976927.070000001,2
637538.68,7978302.08,2
638851.1800000003,7981739.580000001,5
636476.1800000003,7971427.059999999,1
636976.1800000003,7979802.080000001,3
637038.68,7978239.58,3
638101.18,7982989.580000001,4
637038.68,7978552.08,4
637663.6800000003,7977364.57,2
635913.6800000003,7971177.06,2
640038.69,7980489.58,6
639101.18,7978177.07,6
638663.6800000003,7981427.079999999,3
635476.1800000003,7969489.559999999,2
638226.1800000003,7976614.570000001,5
636788.6800000003,7974114.570000001,5
634476.1800000003,7970427.059999999,5
637851.1800000003,7971989.57,2
638913.6800000003,7978427.079999999,6
636538.68,7972552.0699999975,4
637913.6800000003,7975427.07,4
637788.6800000003,7981239.58,3
638788.6800000003,7978802.079999999,6
638476.1800000003,7978802.079999999,3
637538.68,7974114.570000001,1
637413.6800000003,7979614.579999999,3
639226.1800000003,7978552.08,6
638976.1800000003,7978552.08,6
636726.1800000003,7978739.58,4
638288.6800000003,7980989.580000001,5
636788.6800000003,7976052.07,4
638288.6800000003,7977364.57,5
639476.1800000003,7980302.08,5
636913.6800000003,7978677.08,4
637288.6800000003,7974802.07,4
636476.1800000003,7980177.080000001,3
637413.6800000003,7981614.579999999,6
635038.68,7969489.559999999,2
639226.1800000003,7982927.079999999,5
637601.1800000003,7979427.079999999,3
637351.1800000003,7978614.579999999,3
637288.6800000003,7978802.079999999,3
637351.1800000003,7979052.08,3
639851.1800000003,7980427.079999999,5
634351.1800000003,7971427.059999999,5
638226.1800000003,7975927.070000001,2
639226.1800000003,7977989.57,6
636601.1800000003,7971052.059999999,1
636476.1800000003,7979364.58,3
636476.1800000003,7971739.5699999975,1
636788.6800000003,7978614.579999999,4
634413.6800000003,7971739.5699999975,5
636163.6800000003,7971739.5699999975,1
638101.18,7972489.5699999975,4
637413.6800000003,7980427.079999999,3
636413.6800000003,7971864.570000001,1
636163.6800000003,7979739.580000001,3
636601.1800000003,7977552.0699999975,4
636413.6800000003,7971677.06,1
639851.1800000003,7980114.58,6
637476.1800000003,7980364.58,3
635476.1800000003,7972114.570000001,2
634163.67,7971302.059999999,6
637288.6800000003,7976677.070000001,2
636351.1800000003,7972239.57,4
636851.1800000003,7977552.0699999975,4
639038.68,7979552.08,6
639726.1800000003,7982302.08,6
637351.1800000003,7981489.58,5
640038.69,7980677.08,6
637101.18,7975802.0699999975,3
635538.68,7970614.559999998,2
634538.68,7971989.57,6
637788.6800000003,7976364.57,2
634476.1800000003,7971802.0699999975,6
639226.1800000003,7978177.07,6
638226.1800000003,7975864.570000001,2
635726.1800000003,7978052.07,5
634163.67,7971552.059999998,6
636226.1800000003,7979739.580000001,3
639788.6800000003,7980614.579999999,6
637476.1800000003,7979239.58,3
634851.1800000003,7970552.059999998,2
638976.1800000003,7978239.57,6
639288.6800000003,7973552.0699999975,4
639226.1800000003,7978489.58,6
635976.1800000003,7970802.059999998,1
639101.18,7981114.58,5
636601.1800000003,7971427.059999999,2
636601.1800000003,7979989.580000001,3
638101.18,7976864.570000001,3
636413.6800000003,7979927.08,3
639226.1800000003,7978364.58,6
636851.1800000003,7979489.58,3
639976.19,7981552.08,6
639476.1800000003,7982989.580000001,5
636413.6800000003,7972614.570000001,4
638601.1800000003,7982802.079999999,5
636538.68,7974927.070000001,4
637913.6800000003,7975052.07,1
635351.1800000003,7970177.06,2
636726.1800000003,7977802.0699999975,4
638476.1800000003,7978739.58,3
638726.1800000003,7981239.58,3
637663.6800000003,7975989.57,2
637351.1800000003,7973614.57,4
636851.1800000003,7978864.579999999,4
638413.6800000003,7976364.57,3
639226.1800000003,7981864.58,6
635163.6800000003,7971989.57,5
638476.1800000003,7971489.559999999,4
636601.1800000003,7970739.559999999,2
638038.68,7978552.08,6
638851.1800000003,7981864.58,5
639851.1800000003,7980927.079999999,6
635101.18,7969802.059999999,2
638413.6800000003,7982552.08,3
637726.1800000003,7977552.0699999975,2
637038.68,7978677.08,4
637913.6800000003,7973989.57,2
635976.1800000003,7979302.08,5
639976.19,7980739.58,6
639163.6800000003,7978114.570000001,6
636413.6800000003,7973677.07,4
636851.1800000003,7975677.07,4
639226.1800000003,7978989.580000001,4
637851.1800000003,7980864.579999999,3
636663.6800000003,7980052.08,3
636226.1800000003,7977927.070000001,5
636976.1800000003,7974739.57,4
634476.1800000003,7970864.559999998,2
639101.18,7977864.570000001,6
636038.68,7971114.559999999,2
637351.1800000003,7976114.570000001,2
638726.1800000003,7982177.080000001,5
637851.1800000003,7979552.08,3
637163.6800000003,7979864.58,3
636351.1800000003,7976364.57,4
637913.6800000003,7977927.070000001,4
638663.6800000003,7978489.58,6
634663.6800000003,7971989.57,4
635413.6800000003,7970489.559999999,2
639163.6800000003,7973239.57,3
638976.1800000003,7972364.57,5
635351.1800000003,7970864.559999998,2
636663.6800000003,7976739.57,4
636413.6800000003,7970739.559999999,1
637601.1800000003,7979489.58,3
635851.1800000003,7980114.58,3
639413.6800000003,7979927.08,5
638288.6800000003,7980802.079999999,5
635476.1800000003,7969614.559999998,2
639288.6800000003,7974802.07,4
637788.6800000003,7978739.58,2
640038.69,7981177.080000001,6
637601.1800000003,7982239.58,6
635788.6800000003,7976614.570000001,5
635538.68,7969177.06,4
636351.1800000003,7977802.0699999975,4
638038.68,7981177.080000001,6
637601.1800000003,7981302.08,6
636976.1800000003,7978802.079999999,4
636288.6800000003,7977114.570000001,4
637101.18,7973302.0699999975,4
639726.1800000003,7980614.579999999,6
638101.18,7982052.08,3
635601.1800000003,7974114.570000001,5
638038.68,7979677.080000001,3
636038.68,7977114.570000001,4
636538.68,7970427.059999999,2
637351.1800000003,7978239.58,3
638413.6800000003,7974552.0699999975,4
637351.1800000003,7979239.58,3
636601.1800000003,7973552.0699999975,6
639726.1800000003,7980739.58,6
637163.6800000003,7978989.580000001,3
638101.18,7976927.070000001,3
638976.1800000003,7980114.58,6
638351.1800000003,7976489.5699999975,6
635601.1800000003,7969864.559999999,2
639851.19,7982739.58,5
636976.1800000003,7978677.08,4
635226.1800000003,7972052.07,4
637226.1800000003,7971802.0699999975,2
636601.1800000003,7970989.56,1
636413.6800000003,7970864.559999998,1
636538.68,7971489.559999999,1
636913.6800000003,7976739.57,5
638663.6800000003,7982802.079999999,5
637038.68,7976927.070000001,2
639226.1800000003,7978927.079999999,4
637913.6800000003,7978864.579999999,3
634726.1800000003,7971489.559999999,5
636538.68,7971364.559999998,1
635226.1800000003,7970989.56,2
638038.68,7976802.07,2
638538.68,7977239.57,6
636788.6800000003,7979739.580000001,3
637663.6800000003,7981677.080000001,5
636413.6800000003,7970677.059999999,1
639038.68,7978802.079999999,6
637288.6800000003,7976489.5699999975,2
634538.68,7970989.56,1
636788.6800000003,7972864.570000001,3
637788.6800000003,7977302.0699999975,2
635788.6800000003,7978552.08,4
636913.6800000003,7972614.570000001,4
638413.6800000003,7981114.58,5
637413.6800000003,7976739.57,2
638288.6800000003,7978052.07,4
637038.68,7974302.0699999975,4
639663.6800000003,7981177.080000001,5
636851.1800000003,7978802.079999999,4
640038.69,7981239.58,6
637351.1800000003,7977302.0699999975,2
638288.6800000003,7971552.059999998,4
635913.6800000003,7971427.059999999,1
639163.6800000003,7981052.08,3
638226.1800000003,7982614.579999999,3
638351.1800000003,7975427.07,2
638413.6800000003,7973364.57,4
635788.6800000003,7979927.08,3
639163.6800000003,7975364.57,4
637788.6800000003,7971677.06,2
637976.1800000003,7979302.08,5
639851.1800000003,7980052.08,6
635788.6800000003,7970239.559999999,2
637976.1800000003,7982177.080000001,3
638663.6800000003,7980239.58,5
638538.68,7981864.58,3
638726.1800000003,7977364.57,5
637163.6800000003,7975739.5699999975,3
638351.1800000003,7977989.57,4
637476.1800000003,7981427.079999999,6
636101.18,7970302.059999999,2
636038.68,7977614.57,3
636538.68,7972989.57,4
635913.6800000003,7977552.0699999975,3
637163.6800000003,7975239.57,4
638663.6800000003,7980864.579999999,5
639163.6800000003,7982677.08,5
637663.6800000003,7979677.080000001,3
636976.1800000003,7979489.58,3
637976.1800000003,7976052.07,2
637913.6800000003,7981052.08,3
637413.6800000003,7974427.07,4
638038.68,7973052.07,4
637976.1800000003,7972927.070000001,4
637976.1800000003,7977802.0699999975,3
638851.1800000003,7980302.08,5
638538.68,7983114.58,3
638038.68,7982052.08,3
639601.1800000003,7980927.079999999,6
639476.1800000003,7982239.58,5
639976.1800000003,7979739.580000001,6
637351.1800000003,7975989.57,2
638351.1800000003,7982052.08,3
636538.68,7970177.06,2
635726.1800000003,7979677.080000001,3
637038.68,7977864.570000001,2
